split,annotation_id,image_id,image_filename,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,bbox_valid,bbox_issue,num_keypoints_defined,num_keypoints_visible,num_keypoints_clearly_visible,keypoints_raw
test,10,10,bad_posture_20241013_222749_png.rf.1a6f8d4d825c94003cd061a799ceaaa9.jpg,1,Bad,118,48,321.5,447,143710.5,True,,4,4,4,"[255.439, 435.071, 2, 218.874, 188.368, 2, 316.381, 127.835, 2, 129.333, 297, 2]"
test,11,11,image_20241008_200613_jpg.rf.531a35da0b7cda2b9dfc66866d3c6fb3.jpg,2,Good,79,72,372,482,179304,True,,4,4,4,"[202.115, 529.868, 2, 196.02, 231.77, 2, 235.633, 141.54, 2, 137.333, 336, 2]"
test,12,12,bad_posture_20241021_145205_png.rf.f14d47aa70fa3f230e09d869e2c344a7.jpg,1,Bad,107,200,514,400.5,205857,True,,4,4,4,"[182.308, 536.721, 2, 362.088, 328.852, 2, 477.878, 294.587, 2, 213.333, 379, 2]"
test,13,13,bad_posture_20241021_143452_png.rf.d349c06e3ff26ad1e62826b0276ed52a.jpg,1,Bad,117,164,319.5,411,131314.5,True,,4,4,4,"[212.779, 526.442, 2, 260.01, 317.43, 2, 331.617, 243.191, 2, 149.333, 385, 2]"
test,14,14,bad_posture_20241012_174220_png.rf.9ddba68fb2504d13324bdff2612f9126.jpg,1,Bad,96,72,376,454.5,170892,True,,4,4,4,"[203.638, 488.751, 2, 183.832, 239.765, 2, 279.816, 140.398, 2, 136, 320, 2]"
test,15,15,good_posture_20241012_174159_png.rf.0d2d05bc40b1e26ce482756ee7891799.jpg,2,Good,101,56,347.5,469.5,163151.25,True,,4,4,4,"[174.691, 459.056, 2, 165.549, 226.059, 2, 218.874, 127.835, 2, 116, 301, 2]"
test,16,16,image_20241010_170835_jpg.rf.c0e054dabafb7192e9e79e142bc33cde.jpg,2,Good,111,9,330.5,525.5,173677.75,True,,4,4,4,"[228.015, 459.056, 2, 218.874, 180.373, 2, 267.627, 87.86, 2, 137.333, 294, 2]"
test,17,17,image_20241007_193055_jpg.rf.f0149ffe4facc6c0a86b206f8d572fd3.jpg,2,Good,43,68,306,466,142596,True,,4,4,4,"[142.696, 496.746, 2, 127.46, 224.917, 2, 154.884, 115.271, 2, 54.667, 343, 2]"
test,18,18,image_20241008_210940_jpg.rf.2aec852a508796ec39b3f6fbf6230067.jpg,1,Bad,58,112,365.5,425,155337.5,True,,4,4,4,"[234.486, 485.804, 2, 174.691, 253.47, 2, 260.01, 186.084, 2, 70.667, 351, 2]"
test,19,19,good_posture_20241021_141554_png.rf.619fa86d083a2092f85ed3146c8c3dd9.jpg,2,Good,119,110,319.5,478.5,152880.75,True,,4,4,4,"[217.35, 528.726, 2, 209.732, 299.156, 2, 217.35, 189.51, 2, 154.667, 374, 2]"
test,20,20,bad_posture_20241012_174058_png.rf.09ed9018c8ed440c95ea4b529de4e4e1.jpg,1,Bad,90,103,333,438,145854,True,,4,4,4,"[186.879, 478.472, 2, 243.251, 247.76, 2, 331.617, 178.089, 2, 117.333, 322, 2]"
test,21,21,bad_posture_20241021_142117_png.rf.de94348d74c4109ef0128fc64e610d88.jpg,1,Bad,126,200,362.5,391.5,141918.75,True,,4,4,4,"[215.827, 545.858, 2, 284.387, 326.567, 2, 384.941, 285.45, 2, 173.333, 374, 2]"
test,22,22,good_posture_20241012_174128_png.rf.7b70d5ce397ba6d0f6c73a6ffe55b575.jpg,2,Good,103,61,342.5,447.5,153268.75,True,,4,4,4,"[182.308, 469.335, 2, 186.879, 212.353, 2, 220.397, 116.413, 2, 129.333, 292, 2]"
test,23,23,bad_posture_20241013_225802_png.rf.34dd19fba4a0606a0af4f1ef545c1d26.jpg,1,Bad,122,49,308.5,432,133272,True,,4,4,4,"[235.633, 422.507, 2, 247.821, 194.079, 2, 319.429, 125.55, 2, 124, 296, 2]"
test,24,24,bad_posture_20241013_220804_png.rf.d26014a7fa46be0769b8bb1977083fb0.jpg,1,Bad,135,35,311,451,140261,True,,4,4,4,"[264.58, 441.923, 2, 250.868, 196.363, 2, 311.811, 111.845, 2, 154.667, 276, 2]"
test,25,25,image_20241007_191052_jpg.rf.fb41f9fa31c02b6115588cc204762ff8.jpg,1,Bad,107,97,307,464.5,142601.5,True,,4,4,4,"[255.606, 506.209, 2, 223.444, 254.612, 2, 287.434, 166.668, 2, 110.667, 345, 2]"
test,26,26,good_posture_20241021_141329_png.rf.ff15b6917f26885a4a837bf0afd5b7e9.jpg,2,Good,140,95,292.5,501.5,146688.75,True,,4,4,4,"[223.444, 549.285, 2, 217.35, 288.877, 2, 241.727, 196.363, 2, 164, 365, 2]"
train,0,0,bad_posture_20241021_142856_png.rf.d63238b8aa0715cda8e88f5ecaef0e2f.jpg,1,Bad,102,170,317,402,127434,True,,4,4,4,"[231.062, 542.432, 2, 229.539, 332.278, 2, 319.429, 246.617, 2, 140, 367, 2]"
train,1,1,good_posture_20241013_222712_png.rf.d4260da6ca2e54e87b93742653249b2b.jpg,2,Good,156,15,255,482,122910,True,,4,4,4,"[240.203, 411.086, 2, 235.633, 163.241, 2, 288.957, 61.591, 2, 180, 239, 2]"
train,2,2,bad_posture_20241013_225750_png.rf.daa920390fdfc539db263e20cfef43ef.jpg,1,Bad,103,39,359.5,444,159618,True,,4,4,4,"[237.156, 422.507, 2, 223.444, 189.51, 2, 339.235, 125.55, 2, 136, 254, 2]"
train,3,3,bad_posture_20241021_142448_png.rf.d33dd9f9f893e9afb7e761de880c9371.jpg,1,Bad,160,215,380.5,356.5,135648.25,True,,4,4,4,"[256.963, 534.437, 2, 351.423, 328.852, 2, 439.789, 274.029, 2, 226.667, 340, 2]"
train,4,4,bad_posture_20241013_225714_png.rf.d2c1738f716f13eb44311e3ea1d89477.jpg,1,Bad,130,38,383,439,168137,True,,4,4,4,"[217.35, 430.502, 2, 307.24, 183.8, 2, 372.753, 112.987, 2, 225.333, 222, 2]"
train,5,5,image_20241008_203730_jpg.rf.db22bb8d251335e4b0098ff677b77b70.jpg,1,Bad,4,87,399,483.5,192916.5,True,,4,4,4,"[171.643, 517.163, 2, 96.989, 268.176, 2, 182.308, 161.957, 2, 18.667, 332, 2]"
train,6,6,good_posture_20241021_141536_png.rf.d3f0e943b02c7be763e6cf54d93d567f.jpg,2,Good,139,102,251.5,485.5,122103.25,True,,4,4,4,"[234.109, 531.01, 2, 226.491, 307.151, 2, 260.01, 192.937, 2, 166.667, 350, 2]"
train,7,7,good_posture_20241013_225734_png.rf.d9808e2e835c5aa353fe9631a6258afb.jpg,2,Good,96,0,344,476,163744,True,,4,4,4,"[182.308, 432.786, 2, 176.214, 173.52, 2, 203.638, 63.875, 2, 120, 223, 2]"
train,8,8,good_posture_20241021_141341_png.rf.d8f8602154db4e80d92f4cd2f119a846.jpg,2,Good,130,113,281,469.5,131929.5,True,,4,4,4,"[214.303, 540.148, 2, 215.827, 298.014, 2, 249.345, 194.079, 2, 162.667, 344, 2]"
train,9,9,bad_posture_20241021_143008_png.rf.d9c1ef0798864f8bfa499de7693cc403.jpg,1,Bad,109,182,356.5,427,152225.5,True,,4,4,4,"[206.875, 543.574, 2, 229.729, 320.857, 2, 328.76, 266.034, 2, 126.667, 365, 2]"
train,10,10,good_posture_20241021_142342_png.rf.d7977438f1a429a0c4f3e34cd03074e1.jpg,2,Good,181,124,288,465,133920,True,,4,4,4,"[260.01, 548, 2, 256.963, 291.019, 2, 305.716, 196.221, 2, 197.333, 379, 2]"
train,11,11,good_posture_20241021_144124_png.rf.d1fc5160ed82325c329aaaf90ef09fd4.jpg,2,Good,140,103,288,462,133056,True,,4,4,4,"[223.444, 524.158, 2, 214.303, 291.161, 2, 235.633, 197.505, 2, 174.667, 356, 2]"
train,12,12,bad_posture_20241021_142856_png.rf.d4683811d3b2e345171fee3e044ee2f0.jpg,1,Bad,102,170,317,402,127434,True,,4,4,4,"[231.062, 542.432, 2, 229.539, 332.278, 2, 319.429, 246.617, 2, 140, 367, 2]"
train,13,13,image_20241008_200913_jpg.rf.d5692304206ef908694a131f59cd4ce7.jpg,1,Bad,65,85,348.5,466,162401,True,,4,4,4,"[211.256, 499.031, 2, 148.79, 240.907, 2, 237.156, 160.957, 2, 82.667, 333, 2]"
train,14,14,good_posture_20241013_225742_png.rf.d33f51690b5f0b8d693c2cd787bf8808.jpg,2,Good,126,0,304.5,465,141592.5,True,,4,4,4,"[212.779, 411.086, 2, 205.162, 163.241, 2, 250.868, 67.301, 2, 156, 275, 2]"
train,15,15,good_posture_20241021_180607_png.rf.d0e2520a5d55463255fdbfe0196973f3.jpg,2,Good,174,106,344,512,176128,True,,4,4,4,"[276.769, 584.691, 2, 269.151, 321.999, 2, 314.858, 191.795, 2, 200, 399, 2]"
train,16,16,bad_posture_20241021_180513_png.rf.d84928495a9e069e0b719fb4b2f83f4e.jpg,1,Bad,166,122,296.5,495,146767.5,True,,4,4,4,"[247.821, 576.696, 2, 331.617, 303.724, 2, 378.847, 213.495, 2, 225.333, 370, 2]"
train,17,17,good_posture_20241021_141454_png.rf.d7da762e5bde110e2e736c424fdbbd03.jpg,2,Good,149,105,275.5,478,131689,True,,4,4,4,"[244.774, 539.006, 2, 241.727, 290.019, 2, 264.58, 186.084, 2, 185.333, 339, 2]"
train,18,18,bad_posture_20241021_143227_png.rf.d47fb2984e45e06df89cca454d075518.jpg,1,Bad,117,183,353.5,398,140693,True,,4,4,4,"[197.544, 542.432, 2, 241.727, 318.572, 2, 351.423, 263.75, 2, 152, 357, 2]"
train,19,19,good_posture_20241021_142318_png.rf.d9232b17db88f20ba4907f59d38abb25.jpg,2,Good,157,119,234.5,452.5,106111.25,True,,4,4,4,"[246.298, 542.432, 2, 238.68, 296.872, 2, 252.392, 197.505, 2, 201.333, 356, 2]"
train,20,20,good_posture_20241021_142330_png.rf.d4be117b0eb5892d616618a89a77bf6f.jpg,2,Good,171,27,215.5,574.5,123804.75,True,,4,4,4,"[247.821, 564.133, 2, 241.727, 298.014, 2, 278.755, 196.822, 2, 200, 364, 2]"
train,21,21,image_20241007_215802_jpg.rf.dbdb54ba63ed92b744009950b4bdbff8.jpg,2,Good,27,66,412.5,496,204600,True,,4,4,4,"[154.884, 534.437, 2, 135.078, 227.201, 2, 136.602, 123.266, 2, 61.333, 302, 2]"
train,22,22,bad_posture_20241021_144100_png.rf.d6f4e4bdff8b3b8caac4a51b8ef9f50c.jpg,1,Bad,116,183,329.5,391.5,128999.25,True,,4,4,4,"[208.209, 559.564, 2, 266.104, 327.709, 2, 340.758, 260.323, 2, 161.333, 358, 2]"
train,23,23,bad_posture_20241021_143948_png.rf.d48d2917df4c400c127a1435cc580624.jpg,1,Bad,119,185,323,406,131138,True,,4,4,4,"[255.439, 542.432, 2, 258.486, 332.278, 2, 349.9, 258.039, 2, 150.667, 368, 2]"
train,24,24,good_posture_20241021_141630_png.rf.d6b3a72f5d321b47ddcd7ae9b33ab2af.jpg,2,Good,149,113,252.5,461.5,116528.75,True,,4,4,4,"[224.968, 519.589, 2, 220.397, 286.592, 2, 269.151, 196.363, 2, 174.667, 355, 2]"
train,25,25,image_20241009_224730_jpg.rf.dc5962d0a6506d889d394912c37c2831.jpg,2,Good,103,5,377.5,518.5,195733.75,True,,4,4,4,"[243.251, 485.325, 2, 221.921, 186.084, 2, 224.968, 93.57, 2, 146.667, 270, 2]"
train,26,26,image_20241009_224235_jpg.rf.dcb0c6c6bf6276f47836883b24387513.jpg,1,Bad,137,49,343.5,454.5,156120.75,True,,4,4,4,"[298.099, 448.776, 2, 255.439, 205.5, 2, 311.811, 136.972, 2, 162.667, 276, 2]"
train,27,27,image_20241009_143702_jpg.rf.dd4731183ae5628a64ed6244dbb55b48.jpg,1,Bad,79,105,353,414,146142,True,,4,4,4,"[255.439, 469.324, 2, 209.732, 240.896, 2, 313.334, 175.794, 2, 112, 318, 2]"
train,28,28,good_posture_20241013_222757_png.rf.dde627f4ad54320fb1a7f1f6755e0fb3.jpg,2,Good,164,16,292.5,468,136890,True,,4,4,4,"[247.821, 446.492, 2, 256.963, 168.952, 2, 316.381, 91.286, 2, 172, 260, 2]"
train,29,29,bad_posture_20241021_143008_png.rf.e4219080ea89fe4c65fce8c779f2a3f4.jpg,1,Bad,109,182,356.5,427,152225.5,True,,4,4,4,"[206.875, 543.574, 2, 229.729, 320.857, 2, 328.76, 266.034, 2, 126.667, 365, 2]"
train,30,30,good_posture_20241021_142153_png.rf.e06a2ffac509cb1cc9c1a852ace0cdb6.jpg,2,Good,193,118,280.5,472,132396,True,,4,4,4,"[275.245, 545.858, 2, 273.722, 294.587, 2, 301.146, 202.074, 2, 220, 364, 2]"
train,31,31,bad_posture_20241021_142555_png.rf.e313463ebdee7eea418ec43162fcd683.jpg,1,Bad,166,209,374,379.5,141933,True,,4,4,4,"[237.156, 523.016, 2, 325.523, 332.278, 2, 439.789, 285.45, 2, 206.667, 362, 2]"
train,32,32,good_posture_20241013_225737_png.rf.e1c15d7f07506d6650761e065d27409d.jpg,2,Good,98,16,336,474,159264,True,,4,4,4,"[180.785, 422.507, 2, 176.214, 183.8, 2, 223.444, 87.86, 2, 116, 280, 2]"
train,33,33,image_20241008_201334_jpg.rf.e742353a85cfddcbe8cb5bd96c8db275.jpg,2,Good,103,42,364,512,186368,True,,4,4,4,"[229.539, 503.599, 2, 234.109, 218.064, 2, 258.486, 138.114, 2, 160, 291, 2]"
train,34,34,good_posture_20241012_174139_png.rf.e820667afa93896a51f53c1dfc11f41d.jpg,2,Good,109,56,309.5,464.5,143762.75,True,,4,4,4,"[192.973, 480.756, 2, 188.403, 229.485, 2, 215.827, 119.84, 2, 134.667, 273, 2]"
train,35,35,bad_posture_20241013_222600_png.rf.e3bbbd81cbad152f54f470ee95ffdd17.jpg,1,Bad,115,55,371,416,154336,True,,4,4,4,"[260.01, 430.502, 2, 228.015, 207.785, 2, 330.093, 134.688, 2, 144, 279, 2]"
train,36,36,good_posture_20241021_180549_png.rf.df4763572605f1adce89580b52af8c75.jpg,2,Good,160,96,320.5,507,162493.5,True,,4,4,4,"[272.198, 541.29, 2, 285.91, 295.729, 2, 328.57, 190.653, 2, 216, 368, 2]"
train,37,37,bad_posture_20241021_143245_png.rf.e182e517d8fbba0a6f1da3597693b1b9.jpg,1,Bad,120,189,363.5,422,153397,True,,4,4,4,"[199.067, 545.858, 2, 264.58, 320.857, 2, 357.517, 264.892, 2, 152, 371, 2]"
train,38,38,image_20241008_205601_jpg.rf.dfbb727b39a24d63a7339b8458c76403.jpg,2,Good,56,23,399.5,545.5,217927.25,True,,4,4,4,"[192.973, 501.315, 2, 186.879, 231.77, 2, 205.162, 125.55, 2, 110.667, 316, 2]"
train,39,39,image_20241007_215802_jpg.rf.e5a92a843b04789f63bab3bca2dfcbfb.jpg,2,Good,27,66,412.5,496,204600,True,,4,4,4,"[154.884, 534.437, 2, 135.078, 227.201, 2, 136.602, 123.266, 2, 61.333, 302, 2]"
train,40,40,image_20241009_225822_jpg.rf.de5e20aaab1341db95b6df0ffb16cd6d.jpg,1,Bad,85,45,360,450,162000,True,,4,4,4,"[249.333, 443, 2, 191.45, 214.637, 2, 243.251, 122.124, 2, 112, 270, 2]"
train,41,41,bad_posture_20241021_180437_png.rf.dc6b37401fc09622a7a83ca31f0d00e7.jpg,1,Bad,158,183,421.5,423.5,178505.25,True,,4,4,4,"[267.627, 570.843, 2, 351.423, 327.567, 2, 458.072, 267.034, 2, 225.333, 365, 2]"
train,42,42,good_posture_20241021_142205_png.rf.e6b1271d5b97553fd11b79e8f6a7fd46.jpg,2,Good,180,125,219,446.5,97783.5,True,,4,4,4,"[256.963, 534.437, 2, 263.057, 307.151, 2, 293.528, 198.648, 2, 208, 351, 2]"
train,43,43,bad_posture_20241021_143853_png.rf.e3d52257219aede77d89bfbcd6f43220.jpg,1,Bad,117,179,374.5,396.5,148489.25,True,,4,4,4,"[229.729, 540.29, 2, 257.153, 320.999, 2, 324.189, 268.46, 2, 160, 363, 2]"
train,44,44,image_20241008_210224_jpg.rf.de71181b87b246d9e5938dd0950cf09e.jpg,1,Bad,37,95,380.5,474,180357,True,,4,4,4,"[211.256, 501.315, 2, 176.214, 262.607, 2, 275.245, 187.226, 2, 77.333, 336, 2]"
train,45,45,bad_posture_20241012_173243_png.rf.e7f0383f72da060d1eef964fc5aa463e.jpg,1,Bad,174,100,351.5,464,163096,True,,4,4,4,"[278.292, 503.599, 2, 292.004, 242.049, 2, 365.135, 180.373, 2, 213.333, 328, 2]"
train,46,46,image_20241008_205202_jpg.rf.e1740bbe1c03691d901528cd9ef4dce9.jpg,2,Good,56,53,373.5,495,184882.5,True,,4,4,4,"[231.062, 517.305, 2, 180.785, 240.907, 2, 179.261, 127.835, 2, 120, 318, 2]"
train,47,47,bad_posture_20241013_222740_png.rf.e8c8ca5209b2a23b87dcf419aaac4a21.jpg,1,Bad,134,36,289.5,417.5,120866.25,True,,4,4,4,"[266.104, 429.36, 2, 232.586, 182.658, 2, 301.146, 101.566, 2, 138.667, 277, 2]"
train,48,48,bad_posture_20241021_142555_png.rf.e556ca0952c2259fb392b373fdc479ba.jpg,1,Bad,166,209,374,379.5,141933,True,,4,4,4,"[237.156, 523.016, 2, 325.523, 332.278, 2, 439.789, 285.45, 2, 206.667, 362, 2]"
train,49,49,bad_posture_20241013_221218_png.rf.e5217e924397ca5e2727880291313b91.jpg,1,Bad,112,33,368.5,437.5,161218.75,True,,4,4,4,"[258.486, 414.512, 2, 232.586, 190.653, 2, 292.004, 117.555, 2, 126.667, 233, 2]"
train,50,50,image_20241008_200801_jpg.rf.de40fa9292fbeb3b79a1e2390e71ce3a.jpg,2,Good,63,67,325,487.5,158437.5,True,,4,4,4,"[191.45, 525.3, 2, 191.45, 226.059, 2, 223.444, 151.82, 2, 136, 290, 2]"
train,51,51,bad_posture_20241021_144118_png.rf.ece80e777476ee0de4a99a37680eabf6.jpg,2,Good,134,136,294,471.5,138621,True,,4,4,4,"[232.586, 515.021, 2, 212.779, 291.161, 2, 273.722, 204.358, 2, 177.333, 378, 2]"
train,52,52,bad_posture_20241012_173121_png.rf.ec6ba94e66b786a035b8fbe653a089b3.jpg,1,Bad,88,125,347,431.5,149730.5,True,,4,4,4,"[173.167, 515.021, 2, 177.738, 268.318, 2, 264.58, 197.505, 2, 106.667, 350, 2]"
train,53,53,bad_posture_20241021_143641_png.rf.ea6c252145d940577205cc91e4374c22.jpg,1,Bad,120,182,316.5,418,132297,True,,4,4,4,"[240.203, 537.863, 2, 288.957, 324.283, 2, 345.329, 255.755, 2, 168, 352, 2]"
train,54,54,good_posture_20241021_142159_png.rf.f1fa4579559fd4ecb7a6ad8061547111.jpg,2,Good,182,103,303.5,477.5,144921.25,True,,4,4,4,"[281.34, 543.574, 2, 272.198, 295.729, 2, 308.763, 197.505, 2, 210.667, 369, 2]"
train,55,55,bad_posture_20241021_145052_png.rf.ea493141ec32fb18b7bc3c7616db058a.jpg,1,Bad,90,162,386.5,448,173152,True,,4,4,4,"[221.921, 552.711, 2, 199.067, 340.273, 2, 276.769, 259.181, 2, 121.333, 382, 2]"
train,56,56,good_posture_20241021_142330_png.rf.ee893cf99d03ac67f71b40b3ec608328.jpg,2,Good,171,27,215.5,574.5,123804.75,True,,4,4,4,"[247.821, 564.133, 2, 241.727, 298.014, 2, 278.755, 196.822, 2, 200, 364, 2]"
train,57,57,image_20241007_210150_jpg.rf.eb00cdb45a29b5c2aae969e153b0fc51.jpg,2,Good,54,75,378.5,504.5,190953.25,True,,4,4,4,"[160.979, 535.579, 2, 159.455, 224.917, 2, 182.308, 136.972, 2, 94.667, 286, 2]"
train,58,58,bad_posture_20241021_143139_png.rf.ea1a53ed56f0282bc1fe25bad848457e.jpg,1,Bad,92,175,341.5,418,142747,True,,4,4,4,"[180.975, 533.295, 2, 182.499, 333.42, 2, 255.629, 247.76, 2, 97.333, 382, 2]"
train,59,59,bad_posture_20241012_174037_png.rf.ed42a931d35ac793968ad39d77fa992c.jpg,1,Bad,99,93,328.5,445.5,146346.75,True,,4,4,4,"[180.785, 485.325, 2, 269.151, 230.627, 2, 310.287, 175.805, 2, 133.333, 284, 2]"
train,60,60,image_20241008_202735_jpg.rf.edb3da9c33fff3ad166ea9b6bd3cb8e4.jpg,1,Bad,13,61,390.5,548.5,214189.25,True,,4,4,4,"[182.308, 521.873, 2, 98.513, 243.191, 2, 164.026, 134.688, 2, 38.667, 340, 2]"
train,61,61,bad_posture_20241021_144100_png.rf.ebf008e461617492a59e7075a6cc2814.jpg,1,Bad,116,183,329.5,391.5,128999.25,True,,4,4,4,"[208.209, 559.564, 2, 266.104, 327.709, 2, 340.758, 260.323, 2, 161.333, 358, 2]"
train,62,62,good_posture_20241021_142336_png.rf.e9c0605e1ef61453fc5b498a093e9d24.jpg,2,Good,166,126,333,455.5,151681.5,True,,4,4,4,"[252.392, 547, 2, 240.203, 296.872, 2, 285.91, 205.5, 2, 194.667, 380, 2]"
train,63,63,bad_posture_20241021_180437_png.rf.f2c5e87510d565cc280af6904f62a1ae.jpg,1,Bad,158,183,421.5,423.5,178505.25,True,,4,4,4,"[267.627, 570.843, 2, 351.423, 327.567, 2, 458.072, 267.034, 2, 225.333, 365, 2]"
train,64,64,good_posture_20241013_222655_png.rf.eea38fe9371bd3278e00ee729b402653.jpg,1,Bad,126,57,331,416.5,137861.5,True,,4,4,4,"[253.915, 429.36, 2, 218.874, 203.216, 2, 317.905, 131.261, 2, 142.667, 282, 2]"
train,65,65,bad_posture_20241021_144550_png.rf.f05717560cb461708608bc9e06788860.jpg,1,Bad,115,191,345,391,134895,True,,4,4,4,"[229.539, 532.153, 2, 231.062, 328.852, 2, 357.517, 270.602, 2, 136, 399, 2]"
train,66,66,bad_posture_20241021_143020_png.rf.f307ba23ff4a17822ff5b64783c8b96f.jpg,1,Bad,103,191,321.5,390.5,125545.75,True,,4,4,4,"[194.497, 521.873, 2, 220.397, 332.278, 2, 330.093, 255.755, 2, 129.333, 372, 2]"
train,67,67,bad_posture_20241021_142713_png.rf.efe8c12388966a59518e2a570cceacdb.jpg,1,Bad,147,153,398,429.5,170941,True,,4,4,4,"[266.104, 537.863, 2, 270.675, 319.714, 2, 343.805, 245.475, 2, 176, 360, 2]"
train,68,68,image_20241008_202338_jpg.rf.ef4b87637bf07005a97394f1410d5ded.jpg,2,Good,42,50,416,470.5,195728,True,,4,4,4,"[162.502, 493.32, 2, 162.502, 220.348, 2, 183.832, 124.408, 2, 109.333, 277, 2]"
train,69,69,bad_posture_20241021_144538_png.rf.edc0c0e5bfdc28b873284fa499e2446c.jpg,1,Bad,124,191,331,406.5,134551.5,True,,4,4,4,"[212.779, 544.716, 2, 235.633, 336.847, 2, 355.994, 274.029, 2, 142.667, 384, 2]"
train,70,70,bad_posture_20241013_221208_png.rf.f2ec5da19278a24514ce20a5ff9f9dfd.jpg,1,Bad,105,40,321,460,147660,True,,4,4,4,"[224.968, 406.517, 2, 206.685, 199.79, 2, 266.104, 101.566, 2, 118.667, 256, 2]"
train,71,71,bad_posture_20241021_143853_png.rf.ef3747494971fc058e8d7513c463fe7f.jpg,1,Bad,117,179,374.5,396.5,148489.25,True,,4,4,4,"[229.729, 540.29, 2, 257.153, 320.999, 2, 324.189, 268.46, 2, 160, 363, 2]"
train,72,72,bad_posture_20241021_145052_png.rf.f389bc74390fb91c7ae0927c87de0b5f.jpg,1,Bad,90,162,386.5,448,173152,True,,4,4,4,"[221.921, 552.711, 2, 199.067, 340.273, 2, 276.769, 259.181, 2, 121.333, 382, 2]"
train,73,73,image_20241009_225721_jpg.rf.f33f6061f5485d84fd9e01babde47069.jpg,1,Bad,65,39,370,504.5,186665,True,,4,4,4,"[226.491, 479.614, 2, 138.125, 224.917, 2, 208.209, 128.977, 2, 81.333, 294, 2]"
train,74,74,good_posture_20241012_174331_png.rf.f2b9fe1d473a7dfe004f8525003bdbd5.jpg,2,Good,111,53,473.5,518,245273,True,,4,4,4,"[176.214, 467.051, 2, 176.214, 231.77, 2, 206.685, 118.698, 2, 142.667, 324, 2]"
train,75,75,bad_posture_20241013_215714_png.rf.f349c9621eb7217e238cc5e6b23a2a74.jpg,1,Bad,58,51,301.5,437.5,131906.25,True,,4,4,4,"[208.209, 425.934, 2, 107.654, 214.637, 2, 186.879, 127.835, 2, 61.333, 291, 2]"
train,76,76,bad_posture_20241021_143504_png.rf.e937beb5ee8b56583aae19e685e5943b.jpg,1,Bad,119,172,282.5,417.5,117943.75,True,,4,4,4,"[218.874, 543.574, 2, 226.492, 310.577, 2, 310.287, 244.333, 2, 129.333, 378, 2]"
train,77,77,image_20241008_210538_jpg.rf.f3cb2123ff63eacbdb6ed49eb42b6fe0.jpg,1,Bad,39,86,333,481.5,160339.5,True,,4,4,4,"[185.355, 513.878, 2, 142.696, 246.617, 2, 200.591, 162.099, 2, 60, 332, 2]"
