capture_id,subject_id,posture,calibration_id,correspondence_status,correspondence_score,status_3d,decision,valid_3d_joints_core,valid_3d_joints_total,core_reproj_error_640p_px,core_reproj_error_1080p_px,masked_joint_max_error_px,shoulder_width_m,torso_length_m,depth_z_m,reason
CAP000024,S001,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,13,14,35.36,106.07,65.03,0.215,0.434,0.848,"Full 3D: 13/17 core joints, core_err=35.4px, Z=0.85m"
CAP000025,S001,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,36.29,108.86,,0.212,0.432,0.861,"Full 3D: 12/17 core joints, core_err=36.3px, Z=0.86m"
CAP000026,S001,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,9,13,30.25,90.75,88.02,0.203,0.423,0.865,"Full 3D: 9/17 core joints, core_err=30.2px, Z=0.87m"
CAP000027,S001,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,14,33.61,100.82,88.71,0.198,0.415,0.879,"Full 3D: 10/17 core joints, core_err=33.6px, Z=0.88m"
CAP000028,S001,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,14,28.05,84.14,89.06,0.21,0.42,0.875,"Full 3D: 10/17 core joints, core_err=28.0px, Z=0.87m"
CAP000029,S001,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,14,29.52,88.57,88.14,0.211,0.422,0.874,"Full 3D: 10/17 core joints, core_err=29.5px, Z=0.87m"
CAP000030,S001,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,14,26.8,80.4,88.64,0.199,0.414,0.864,"Full 3D: 10/17 core joints, core_err=26.8px, Z=0.86m"
CAP000031,S001,leaning_right,CAL_001,LIKELY_SAME,1,PASS,INCLUDE_3D_FULL,12,12,18.89,56.66,,0.198,0.399,0.783,"Full 3D: 12/17 core joints, core_err=18.9px, Z=0.78m"
CAP000032,S001,leaning_right,CAL_001,LIKELY_SAME,1,PASS,INCLUDE_3D_FULL,12,12,20.3,60.89,,0.196,0.402,0.781,"Full 3D: 12/17 core joints, core_err=20.3px, Z=0.78m"
CAP000033,S001,leaning_right,CAL_001,LIKELY_SAME,1,PASS,INCLUDE_3D_FULL,12,12,21.57,64.71,,0.191,0.397,0.783,"Full 3D: 12/17 core joints, core_err=21.6px, Z=0.78m"
CAP000034,S001,leaning_right,CAL_001,SUSPICIOUS,3,PASS,INCLUDE_3D_FULL,11,11,22.26,66.78,,0.227,,0.789,"Full 3D: 11/17 core joints, core_err=22.3px, Z=0.79m"
CAP000035,S001,leaning_right,CAL_001,SUSPICIOUS,4,PASS,INCLUDE_3D_FULL,11,11,21.04,63.12,,0.228,,0.781,"Full 3D: 11/17 core joints, core_err=21.0px, Z=0.78m"
CAP000036,S001,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,29.73,89.18,,0.211,0.406,0.829,"Full 3D: 12/17 core joints, core_err=29.7px, Z=0.83m"
CAP000037,S001,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,30.18,90.54,,0.207,0.394,0.841,"Full 3D: 14/17 core joints, core_err=30.2px, Z=0.84m"
CAP000038,S001,slouching,CAL_001,SUSPICIOUS,3,PASS,INCLUDE_3D_FULL,12,12,25.84,77.52,,0.204,0.393,0.837,"Full 3D: 12/17 core joints, core_err=25.8px, Z=0.84m"
CAP000039,S001,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,22.29,66.87,,0.205,0.361,0.833,"Full 3D: 14/17 core joints, core_err=22.3px, Z=0.83m"
CAP000040,S001,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,31.26,93.77,,0.19,0.398,0.835,"Full 3D: 14/17 core joints, core_err=31.3px, Z=0.84m"
CAP000041,S001,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,32.17,96.51,,0.189,0.412,0.841,"Full 3D: 14/17 core joints, core_err=32.2px, Z=0.84m"
CAP000042,S001,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,32.51,97.52,,0.189,0.4,0.834,"Full 3D: 14/17 core joints, core_err=32.5px, Z=0.83m"
CAP000043,S001,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,32.2,96.61,,0.192,0.404,0.832,"Full 3D: 14/17 core joints, core_err=32.2px, Z=0.83m"
CAP000044,S001,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,28.61,85.84,,0.193,0.382,0.844,"Full 3D: 14/17 core joints, core_err=28.6px, Z=0.84m"
CAP000045,S001,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,13,13,31.5,94.51,,0.192,0.387,0.837,"Full 3D: 13/17 core joints, core_err=31.5px, Z=0.84m"
CAP000046,S001,reject,CAL_001,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,4,6,27.32,81.97,98.32,,,0.672,Partial 3D: 4/17 core joints - usable with NaN masking
CAP000047,S001,reject,CAL_001,NO_TARGET,0,PASS,EXCLUDE_3D,0,0,,,,,,,Clean negative sample (empty chair)
CAP000048,S002,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,29.68,89.04,,0.226,0.476,0.818,"Full 3D: 12/17 core joints, core_err=29.7px, Z=0.82m"
CAP000049,S002,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.53,85.59,,0.229,0.476,0.823,"Full 3D: 12/17 core joints, core_err=28.5px, Z=0.82m"
CAP000050,S002,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.92,86.77,,0.228,0.474,0.822,"Full 3D: 12/17 core joints, core_err=28.9px, Z=0.82m"
CAP000051,S002,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,27.38,82.13,,0.224,0.481,0.824,"Full 3D: 12/17 core joints, core_err=27.4px, Z=0.82m"
CAP000052,S002,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.05,84.16,,0.226,0.479,0.82,"Full 3D: 12/17 core joints, core_err=28.1px, Z=0.82m"
CAP000053,S002,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,26.3,78.91,,0.242,0.487,0.791,"Full 3D: 12/17 core joints, core_err=26.3px, Z=0.79m"
CAP000054,S002,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,29.1,87.31,,0.253,0.476,0.791,"Full 3D: 12/17 core joints, core_err=29.1px, Z=0.79m"
CAP000055,S002,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.07,84.2,,0.258,0.475,0.792,"Full 3D: 12/17 core joints, core_err=28.1px, Z=0.79m"
CAP000056,S002,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.76,86.27,,0.255,0.476,0.791,"Full 3D: 12/17 core joints, core_err=28.8px, Z=0.79m"
CAP000057,S002,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,28.92,86.77,,0.256,0.478,0.792,"Full 3D: 12/17 core joints, core_err=28.9px, Z=0.79m"
CAP000058,S002,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.15,72.44,,0.23,0.431,0.836,"Full 3D: 12/17 core joints, core_err=24.1px, Z=0.84m"
CAP000059,S002,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.71,74.12,,0.227,0.422,0.84,"Full 3D: 12/17 core joints, core_err=24.7px, Z=0.84m"
CAP000060,S002,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.39,73.16,,0.229,0.423,0.84,"Full 3D: 12/17 core joints, core_err=24.4px, Z=0.84m"
CAP000061,S002,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.46,73.39,,0.229,0.423,0.841,"Full 3D: 12/17 core joints, core_err=24.5px, Z=0.84m"
CAP000062,S002,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.44,73.33,,0.23,0.432,0.842,"Full 3D: 12/17 core joints, core_err=24.4px, Z=0.84m"
CAP000063,S002,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,26.94,80.82,77.08,0.246,0.472,0.857,"Full 3D: 10/17 core joints, core_err=26.9px, Z=0.86m"
CAP000064,S002,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,26.99,80.96,75.15,0.244,0.457,0.861,"Full 3D: 10/17 core joints, core_err=27.0px, Z=0.86m"
CAP000065,S002,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,30.23,90.69,74.38,0.241,0.455,0.857,"Full 3D: 11/17 core joints, core_err=30.2px, Z=0.86m"
CAP000066,S002,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,27.44,82.32,76.4,0.242,0.456,0.86,"Full 3D: 10/17 core joints, core_err=27.4px, Z=0.86m"
CAP000067,S002,leaning_left,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,27.35,82.04,76.02,0.241,0.453,0.859,"Full 3D: 10/17 core joints, core_err=27.3px, Z=0.86m"
CAP000068,S002,leaning_right,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,18.1,54.29,,0.223,0.433,0.782,"Full 3D: 12/17 core joints, core_err=18.1px, Z=0.78m"
CAP000069,S002,leaning_right,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,19.05,57.14,,0.218,0.43,0.78,"Full 3D: 12/17 core joints, core_err=19.0px, Z=0.78m"
CAP000070,S002,leaning_right,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,18.52,55.56,,0.224,0.431,0.784,"Full 3D: 12/17 core joints, core_err=18.5px, Z=0.78m"
CAP000071,S002,leaning_right,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,18.6,55.81,,0.223,0.432,0.783,"Full 3D: 12/17 core joints, core_err=18.6px, Z=0.78m"
CAP000072,S002,leaning_right,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,18.02,54.06,,0.222,0.429,0.783,"Full 3D: 12/17 core joints, core_err=18.0px, Z=0.78m"
CAP000073,S002,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.37,70.11,,0.238,0.41,0.822,"Full 3D: 12/17 core joints, core_err=23.4px, Z=0.82m"
CAP000074,S002,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.24,69.71,,0.24,0.41,0.823,"Full 3D: 12/17 core joints, core_err=23.2px, Z=0.82m"
CAP000075,S002,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.08,69.23,,0.239,0.413,0.824,"Full 3D: 12/17 core joints, core_err=23.1px, Z=0.82m"
CAP000076,S002,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.88,71.65,,0.234,0.408,0.819,"Full 3D: 12/17 core joints, core_err=23.9px, Z=0.82m"
CAP000077,S002,slouching,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.23,69.68,,0.24,0.41,0.823,"Full 3D: 12/17 core joints, core_err=23.2px, Z=0.82m"
CAP000078,S002,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,22.89,68.67,,0.237,0.425,0.813,"Full 3D: 12/17 core joints, core_err=22.9px, Z=0.81m"
CAP000079,S002,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,21.72,65.15,,0.232,0.425,0.815,"Full 3D: 12/17 core joints, core_err=21.7px, Z=0.81m"
CAP000080,S002,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.67,71.01,,0.241,0.45,0.813,"Full 3D: 12/17 core joints, core_err=23.7px, Z=0.81m"
CAP000081,S002,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.65,70.94,,0.243,0.449,0.813,"Full 3D: 12/17 core joints, core_err=23.6px, Z=0.81m"
CAP000082,S002,forward_head,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.78,71.35,,0.239,0.441,0.815,"Full 3D: 12/17 core joints, core_err=23.8px, Z=0.81m"
CAP000083,S003,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,14,14,29.35,88.06,,0.147,0.556,1.446,Partial 3D: 14/17 core joints - usable with NaN masking
CAP000084,S003,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,14,14,29.34,88.02,,0.146,0.554,1.445,Partial 3D: 14/17 core joints - usable with NaN masking
CAP000085,S003,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,14,14,29.23,87.69,,0.147,0.553,1.444,Partial 3D: 14/17 core joints - usable with NaN masking
CAP000086,S003,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,14,14,29.7,89.09,,0.149,0.556,1.444,Partial 3D: 14/17 core joints - usable with NaN masking
CAP000087,S003,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,14,14,29.39,88.18,,0.148,0.559,1.446,Partial 3D: 14/17 core joints - usable with NaN masking
CAP000088,S003,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,13,14,38.72,116.17,71.13,0.114,0.627,1.286,Partial 3D: 13/17 core joints - usable with NaN masking
CAP000089,S003,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,13,14,38.05,114.14,70.89,0.113,0.633,1.289,Partial 3D: 13/17 core joints - usable with NaN masking
CAP000090,S003,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,13,36.62,109.87,70.73,0.115,0.633,1.284,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000091,S003,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,14,36.26,108.78,70.93,0.116,0.627,1.285,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000092,S003,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,14,36.21,108.63,70.97,0.115,0.628,1.286,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000093,S003,leaning_backward,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,14,25.58,76.73,73.28,0.154,0.529,1.473,"Full 3D: 12/17 core joints, core_err=25.6px, Z=1.47m"
CAP000094,S003,leaning_backward,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,13,15,27.94,83.81,72.02,0.172,0.526,1.453,"Full 3D: 13/17 core joints, core_err=27.9px, Z=1.45m"
CAP000095,S003,leaning_backward,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,14,25.21,75.62,68.89,0.166,0.523,1.48,"Full 3D: 12/17 core joints, core_err=25.2px, Z=1.48m"
CAP000096,S003,leaning_backward,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,14,25.25,75.75,71.45,0.162,0.531,1.481,"Full 3D: 12/17 core joints, core_err=25.2px, Z=1.48m"
CAP000097,S003,leaning_backward,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,14,25.3,75.9,71.6,0.16,0.531,1.483,"Full 3D: 12/17 core joints, core_err=25.3px, Z=1.48m"
CAP000098,S003,leaning_left,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,12,30.57,91.71,,0.126,0.634,1.445,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000099,S003,leaning_left,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,13,13,33.4,100.21,,0.127,0.624,1.422,Partial 3D: 13/17 core joints - usable with NaN masking
CAP000100,S003,leaning_left,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,13,13,33.59,100.77,,0.128,0.622,1.419,Partial 3D: 13/17 core joints - usable with NaN masking
CAP000101,S003,leaning_left,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,12,30.94,92.82,,0.126,0.628,1.443,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000102,S003,leaning_left,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,12,31.09,93.26,,0.127,0.623,1.444,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000103,S003,leaning_right,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,31.0,93.0,,0.169,0.515,1.44,"Full 3D: 14/17 core joints, core_err=31.0px, Z=1.44m"
CAP000104,S003,leaning_right,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,30.68,92.04,,0.172,0.511,1.442,"Full 3D: 14/17 core joints, core_err=30.7px, Z=1.44m"
CAP000105,S003,leaning_right,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,30.34,91.03,,0.161,0.516,1.447,"Full 3D: 14/17 core joints, core_err=30.3px, Z=1.45m"
CAP000106,S003,leaning_right,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,30.23,90.68,,0.175,0.509,1.442,"Full 3D: 14/17 core joints, core_err=30.2px, Z=1.44m"
CAP000107,S003,leaning_right,CAL_004,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,14,14,30.82,92.45,,0.186,0.507,1.439,"Full 3D: 14/17 core joints, core_err=30.8px, Z=1.44m"
CAP000108,S003,slouching,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,9,12,39.67,119.02,83.13,0.112,,1.113,Partial 3D: 9/17 core joints - usable with NaN masking
CAP000109,S003,slouching,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,9,12,39.54,118.61,82.98,0.111,,1.117,Partial 3D: 9/17 core joints - usable with NaN masking
CAP000110,S003,slouching,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,12,41.95,125.84,82.35,0.112,,1.16,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000111,S003,slouching,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,12,41.81,125.44,83.16,0.112,,1.161,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000112,S003,slouching,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,9,12,39.76,119.27,82.89,0.11,,1.117,Partial 3D: 9/17 core joints - usable with NaN masking
CAP000113,S003,forward_head,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,14,43.37,130.11,81.15,0.112,0.57,1.164,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000114,S003,forward_head,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,14,44.54,133.63,83.89,0.114,0.569,1.164,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000115,S003,forward_head,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,14,44.01,132.03,83.47,0.113,0.573,1.166,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000116,S003,forward_head,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,14,43.88,131.63,84.83,0.113,0.57,1.165,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000117,S003,forward_head,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,13,44.34,133.03,80.65,0.113,0.576,1.167,Partial 3D: 10/17 core joints - usable with NaN masking
CAP000118,S003,reject,CAL_004,SUSPICIOUS,3,PASS,INCLUDE_3D_FULL,11,12,36.51,109.54,69.47,0.27,0.593,1.086,"Full 3D: 11/17 core joints, core_err=36.5px, Z=1.09m"
CAP000119,S003,reject,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,9,9,25.51,76.54,,0.321,0.858,1.296,Partial 3D: 9/17 core joints - usable with NaN masking
CAP000120,S003,reject,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,12,12,17.15,51.46,,0.142,0.792,1.48,Partial 3D: 12/17 core joints - usable with NaN masking
CAP000121,S003,reject,CAL_004,NO_TARGET,0,PASS,EXCLUDE_3D,0,0,,,,,,,Clean negative sample (empty chair)
CAP000122,S004,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,11,14,31.46,94.38,75.26,0.141,0.575,1.152,Partial 3D: 11/17 core joints - usable with NaN masking
CAP000123,S004,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,11,14,32.91,98.74,77.56,0.144,0.571,1.151,Partial 3D: 11/17 core joints - usable with NaN masking
CAP000124,S004,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,11,14,33.13,99.38,77.2,0.141,0.581,1.155,Partial 3D: 11/17 core joints - usable with NaN masking
CAP000125,S004,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,11,14,31.74,95.21,75.23,0.139,0.573,1.154,Partial 3D: 11/17 core joints - usable with NaN masking
CAP000126,S004,upright,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,11,14,32.43,97.3,75.65,0.139,0.58,1.154,Partial 3D: 11/17 core joints - usable with NaN masking
CAP000127,S004,leaning_forward,CAL_004,SAME_PERSON,0,REVIEW,INCLUDE_3D_WITH_MASKING,10,14,44.66,133.98,84.52,0.135,0.626,1.032,Partial 3D: 10/17 core joints - usable with NaN masking
