capture_id,subject_id,session_id,calibration_id,primary_posture,head_state,shoulder_state,pelvis_state,repetition,subset,quality,notes,chair_id,lateral_side
CAP000056,S002,SE01,CAL_001,leaning_forward,,,,4,pilot,pending,,CHR_001,left
CAP000057,S002,SE01,CAL_001,leaning_forward,,,,5,pilot,pending,,CHR_001,left
CAP000058,S002,SE01,CAL_001,leaning_backward,,,,1,pilot,pending,,CHR_001,left
CAP000059,S002,SE01,CAL_001,leaning_backward,,,,2,pilot,pending,,CHR_001,left
CAP000060,S002,SE01,CAL_001,leaning_backward,,,,3,pilot,pending,,CHR_001,left
CAP000061,S002,SE01,CAL_001,leaning_backward,,,,4,pilot,pending,,CHR_001,left
CAP000062,S002,SE01,CAL_001,leaning_backward,,,,5,pilot,pending,,CHR_001,left
CAP000063,S002,SE01,CAL_001,leaning_left,,,,1,pilot,pending,,CHR_001,left
CAP000064,S002,SE01,CAL_001,leaning_left,,,,2,pilot,pending,,CHR_001,left
CAP000065,S002,SE01,CAL_001,leaning_left,,,,3,pilot,pending,,CHR_001,left
CAP000066,S002,SE01,CAL_001,leaning_left,,,,4,pilot,pending,,CHR_001,left
CAP000067,S002,SE01,CAL_001,leaning_left,,,,5,pilot,pending,,CHR_001,left
CAP000068,S002,SE01,CAL_001,leaning_right,,,,1,pilot,pending,,CHR_001,left
CAP000069,S002,SE01,CAL_001,leaning_right,,,,2,pilot,pending,,CHR_001,left
CAP000070,S002,SE01,CAL_001,leaning_right,,,,3,pilot,pending,,CHR_001,left
CAP000071,S002,SE01,CAL_001,leaning_right,,,,4,pilot,pending,,CHR_001,left
CAP000072,S002,SE01,CAL_001,leaning_right,,,,5,pilot,pending,,CHR_001,left
CAP000073,S002,SE01,CAL_001,slouching,,,,5,pilot,pending,,CHR_001,left
CAP000074,S002,SE01,CAL_001,slouching,,,,1,pilot,pending,,CHR_001,left
CAP000075,S002,SE01,CAL_001,slouching,,,,2,pilot,pending,,CHR_001,left
CAP000076,S002,SE01,CAL_001,slouching,,,,3,pilot,pending,,CHR_001,left
CAP000077,S002,SE01,CAL_001,slouching,,,,4,pilot,pending,,CHR_001,left
CAP000078,S002,SE01,CAL_001,forward_head,,,,1,pilot,pending,,CHR_001,left
CAP000079,S002,SE01,CAL_001,forward_head,,,,2,pilot,pending,,CHR_001,left
CAP000080,S002,SE01,CAL_001,forward_head,,,,3,pilot,pending,,CHR_001,left
CAP000081,S002,SE01,CAL_001,forward_head,,,,4,pilot,pending,,CHR_001,left
CAP000082,S002,SE01,CAL_001,forward_head,,,,5,pilot,pending,,CHR_001,left
CAP000083,S003,SE01,CAL_004,upright,,,,1,pilot,pending,,CHR_001,left
CAP000084,S003,SE01,CAL_004,upright,,,,2,pilot,pending,,CHR_001,left
CAP000085,S003,SE01,CAL_004,upright,,,,3,pilot,pending,,CHR_001,left
CAP000086,S003,SE01,CAL_004,upright,,,,4,pilot,pending,,CHR_001,left
CAP000087,S003,SE01,CAL_004,upright,,,,5,pilot,pending,,CHR_001,left
CAP000088,S003,SE01,CAL_004,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000089,S003,SE01,CAL_004,leaning_forward,,,,2,pilot,pending,,CHR_001,left
CAP000090,S003,SE01,CAL_004,leaning_forward,,,,3,pilot,pending,,CHR_001,left
CAP000091,S003,SE01,CAL_004,leaning_forward,,,,4,pilot,pending,,CHR_001,left
CAP000092,S003,SE01,CAL_004,leaning_forward,,,,5,pilot,pending,,CHR_001,left
CAP000093,S003,SE01,CAL_004,leaning_backward,,,,1,pilot,pending,,CHR_001,left
CAP000094,S003,SE01,CAL_004,leaning_backward,,,,2,pilot,pending,,CHR_001,left
CAP000095,S003,SE01,CAL_004,leaning_backward,,,,3,pilot,pending,,CHR_001,left
CAP000096,S003,SE01,CAL_004,leaning_backward,,,,4,pilot,pending,,CHR_001,left
CAP000097,S003,SE01,CAL_004,leaning_backward,,,,5,pilot,pending,,CHR_001,left
CAP000098,S003,SE01,CAL_004,leaning_left,,,,1,pilot,pending,,CHR_001,left
CAP000099,S003,SE01,CAL_004,leaning_left,,,,2,pilot,pending,,CHR_001,left
CAP000100,S003,SE01,CAL_004,leaning_left,,,,3,pilot,pending,,CHR_001,left
CAP000101,S003,SE01,CAL_004,leaning_left,,,,4,pilot,pending,,CHR_001,left
CAP000102,S003,SE01,CAL_004,leaning_left,,,,5,pilot,pending,,CHR_001,left
CAP000103,S003,SE01,CAL_004,leaning_right,,,,1,pilot,pending,,CHR_001,left
CAP000104,S003,SE01,CAL_004,leaning_right,,,,2,pilot,pending,,CHR_001,left
CAP000105,S003,SE01,CAL_004,leaning_right,,,,3,pilot,pending,,CHR_001,left
CAP000106,S003,SE01,CAL_004,leaning_right,,,,4,pilot,pending,,CHR_001,left
CAP000107,S003,SE01,CAL_004,leaning_right,,,,5,pilot,pending,,CHR_001,left
CAP000108,S003,SE01,CAL_004,slouching,,,,1,pilot,pending,,CHR_001,left
CAP000109,S003,SE01,CAL_004,slouching,,,,2,pilot,pending,,CHR_001,left
CAP000110,S003,SE01,CAL_004,slouching,,,,3,pilot,pending,,CHR_001,left
CAP000111,S003,SE01,CAL_004,slouching,,,,4,pilot,pending,,CHR_001,left
CAP000112,S003,SE01,CAL_004,slouching,,,,5,pilot,pending,,CHR_001,left
CAP000113,S003,SE01,CAL_004,forward_head,,,,1,pilot,pending,,CHR_001,left
CAP000114,S003,SE01,CAL_004,forward_head,,,,2,pilot,pending,,CHR_001,left
CAP000115,S003,SE01,CAL_004,forward_head,,,,3,pilot,pending,,CHR_001,left
CAP000116,S003,SE01,CAL_004,forward_head,,,,4,pilot,pending,,CHR_001,left
CAP000117,S003,SE01,CAL_004,forward_head,,,,5,pilot,pending,,CHR_001,left
CAP000118,S003,SE01,CAL_004,reject,,,,1,pilot,pending,,CHR_001,left
CAP000119,S003,SE01,CAL_004,reject,,,,1,pilot,pending,,CHR_001,left
CAP000120,S003,SE01,CAL_004,reject,,,,1,pilot,pending,,CHR_001,left
CAP000121,S003,SE01,CAL_004,reject,,,,2,pilot,pending,,CHR_001,left
CAP000122,S004,SE01,CAL_004,upright,,,,1,pilot,pending,,CHR_001,left
CAP000123,S004,SE01,CAL_004,upright,,,,2,pilot,pending,,CHR_001,left
CAP000124,S004,SE01,CAL_004,upright,,,,3,pilot,pending,,CHR_001,left
CAP000125,S004,SE01,CAL_004,upright,,,,4,pilot,pending,,CHR_001,left
CAP000126,S004,SE01,CAL_004,upright,,,,5,pilot,pending,,CHR_001,left
CAP000127,S004,SE01,CAL_004,leaning_forward,,,,1,pilot,pending,,CHR_001,left
CAP000128,S004,SE01,CAL_004,leaning_forward,,,,2,pilot,pending,,CHR_001,left
CAP000129,S004,SE01,CAL_004,leaning_forward,,,,3,pilot,pending,,CHR_001,left
CAP000130,S004,SE01,CAL_004,leaning_forward,,,,4,pilot,pending,,CHR_001,left
CAP000131,S004,SE01,CAL_004,leaning_forward,,,,5,pilot,pending,,CHR_001,left
CAP000132,S004,SE01,CAL_004,leaning_backward,,,,1,pilot,pending,,CHR_001,left
CAP000133,S004,SE01,CAL_004,leaning_backward,,,,2,pilot,pending,,CHR_001,left
CAP000134,S004,SE01,CAL_004,leaning_backward,,,,3,pilot,pending,,CHR_001,left
CAP000135,S004,SE01,CAL_004,leaning_backward,,,,4,pilot,pending,,CHR_001,left
CAP000136,S004,SE01,CAL_004,leaning_backward,,,,5,pilot,pending,,CHR_001,left
CAP000137,S004,SE01,CAL_004,leaning_left,,,,1,pilot,pending,,CHR_001,left
CAP000138,S004,SE01,CAL_004,leaning_left,,,,2,pilot,pending,,CHR_001,left
CAP000139,S004,SE01,CAL_004,leaning_left,,,,3,pilot,pending,,CHR_001,left
CAP000140,S004,SE01,CAL_004,leaning_left,,,,4,pilot,pending,,CHR_001,left
CAP000141,S004,SE01,CAL_004,leaning_left,,,,5,pilot,pending,,CHR_001,left
CAP000142,S004,SE01,CAL_004,leaning_right,,,,1,pilot,pending,,CHR_001,left
CAP000143,S004,SE01,CAL_004,leaning_right,,,,2,pilot,pending,,CHR_001,left
CAP000144,S004,SE01,CAL_004,leaning_right,,,,3,pilot,pending,,CHR_001,left
CAP000145,S004,SE01,CAL_004,leaning_right,,,,4,pilot,pending,,CHR_001,left
CAP000146,S004,SE01,CAL_004,leaning_right,,,,5,pilot,pending,,CHR_001,left
CAP000147,S004,SE01,CAL_004,slouching,,,,1,pilot,pending,,CHR_001,left
CAP000148,S004,SE01,CAL_004,slouching,,,,2,pilot,pending,,CHR_001,left
CAP000149,S004,SE01,CAL_004,slouching,,,,3,pilot,pending,,CHR_001,left
CAP000150,S004,SE01,CAL_004,slouching,,,,4,pilot,pending,,CHR_001,left
CAP000151,S004,SE01,CAL_004,slouching,,,,5,pilot,pending,,CHR_001,left
CAP000152,S004,SE01,CAL_004,forward_head,,,,1,pilot,pending,,CHR_001,left
CAP000153,S004,SE01,CAL_004,forward_head,,,,2,pilot,pending,,CHR_001,left
CAP000154,S004,SE01,CAL_004,forward_head,,,,3,pilot,pending,,CHR_001,left
CAP000155,S004,SE01,CAL_004,forward_head,,,,4,pilot,pending,,CHR_001,left
CAP000156,S004,SE01,CAL_004,forward_head,,,,5,pilot,pending,,CHR_001,left
CAP000157,S005,SE01,CAL_005,upright,,,,1,controlled,pending,,CHR_001,right
CAP000158,S005,SE01,CAL_005,upright,,,,2,controlled,pending,,CHR_001,right
CAP000159,S005,SE01,CAL_005,upright,,,,3,controlled,pending,,CHR_001,right
CAP000160,S005,SE01,CAL_005,upright,,,,4,controlled,pending,,CHR_001,right
CAP000161,S005,SE01,CAL_005,upright,,,,5,controlled,pending,,CHR_001,right
CAP000162,S005,SE01,CAL_005,leaning_forward,,,,1,controlled,pending,,CHR_001,right
CAP000163,S005,SE01,CAL_005,leaning_forward,,,,2,controlled,pending,,CHR_001,right
CAP000164,S005,SE01,CAL_005,leaning_forward,,,,3,controlled,pending,,CHR_001,right
CAP000165,S005,SE01,CAL_005,leaning_forward,,,,4,controlled,pending,,CHR_001,right
CAP000166,S005,SE01,CAL_005,leaning_forward,,,,5,controlled,pending,,CHR_001,right
CAP000167,S005,SE01,CAL_005,leaning_backward,,,,1,controlled,pending,,CHR_001,right
CAP000168,S005,SE01,CAL_005,leaning_backward,,,,2,controlled,pending,,CHR_001,right
CAP000169,S005,SE01,CAL_005,leaning_backward,,,,3,controlled,pending,,CHR_001,right
CAP000170,S005,SE01,CAL_005,leaning_backward,,,,4,controlled,pending,,CHR_001,right
CAP000171,S005,SE01,CAL_005,leaning_backward,,,,5,controlled,pending,,CHR_001,right
CAP000172,S005,SE01,CAL_005,leaning_left,,,,1,controlled,pending,,CHR_001,right
CAP000173,S005,SE01,CAL_005,leaning_left,,,,2,controlled,pending,,CHR_001,right
CAP000174,S005,SE01,CAL_005,leaning_left,,,,3,controlled,pending,,CHR_001,right
CAP000175,S005,SE01,CAL_005,leaning_left,,,,4,controlled,pending,,CHR_001,right
CAP000176,S005,SE01,CAL_005,leaning_left,,,,5,controlled,pending,,CHR_001,right
CAP000177,S005,SE01,CAL_005,leaning_right,,,,1,controlled,pending,,CHR_001,right
CAP000178,S005,SE01,CAL_005,leaning_right,,,,2,controlled,pending,,CHR_001,right
CAP000179,S005,SE01,CAL_005,leaning_right,,,,3,controlled,pending,,CHR_001,right
CAP000180,S005,SE01,CAL_005,leaning_right,,,,4,controlled,pending,,CHR_001,right
CAP000181,S005,SE01,CAL_005,leaning_right,,,,5,controlled,pending,,CHR_001,right
CAP000182,S005,SE01,CAL_005,slouching,,,,1,controlled,pending,,CHR_001,right
CAP000183,S005,SE01,CAL_005,slouching,,,,2,controlled,pending,,CHR_001,right
CAP000184,S005,SE01,CAL_005,slouching,,,,3,controlled,pending,,CHR_001,right
CAP000185,S005,SE01,CAL_005,slouching,,,,4,controlled,pending,,CHR_001,right
CAP000186,S005,SE01,CAL_005,slouching,,,,5,controlled,pending,,CHR_001,right
CAP000187,S005,SE01,CAL_005,forward_head,,,,1,controlled,pending,,CHR_001,right
CAP000188,S005,SE01,CAL_005,forward_head,,,,2,controlled,pending,,CHR_001,right
CAP000189,S005,SE01,CAL_005,forward_head,,,,3,controlled,pending,,CHR_001,right
CAP000190,S005,SE01,CAL_005,forward_head,,,,4,controlled,pending,,CHR_001,right
CAP000191,S005,SE01,CAL_005,forward_head,,,,5,controlled,pending,,CHR_001,right
CAP000192,S005,SE01,CAL_005,reject,,,,1,controlled,pending,,CHR_001,right
CAP000193,S006,SE01,CAL_005,upright,,,,1,controlled,pending,,CHR_001,right
CAP000194,S006,SE01,CAL_005,upright,,,,2,controlled,pending,,CHR_001,right
CAP000195,S006,SE01,CAL_005,upright,,,,3,controlled,pending,,CHR_001,right
CAP000196,S006,SE01,CAL_005,upright,,,,4,controlled,pending,,CHR_001,right
CAP000197,S006,SE01,CAL_005,upright,,,,5,controlled,pending,,CHR_001,right
CAP000198,S006,SE01,CAL_005,leaning_forward,,,,1,controlled,pending,,CHR_001,right
CAP000199,S006,SE01,CAL_005,leaning_forward,,,,2,controlled,pending,,CHR_001,right
CAP000200,S006,SE01,CAL_005,leaning_forward,,,,3,controlled,pending,,CHR_001,right
CAP000201,S006,SE01,CAL_005,leaning_forward,,,,4,controlled,pending,,CHR_001,right
CAP000202,S006,SE01,CAL_005,leaning_forward,,,,5,controlled,pending,,CHR_001,right
CAP000203,S006,SE01,CAL_005,leaning_backward,,,,1,controlled,pending,,CHR_001,right
CAP000204,S006,SE01,CAL_005,leaning_backward,,,,2,controlled,pending,,CHR_001,right
CAP000205,S006,SE01,CAL_005,leaning_backward,,,,3,controlled,pending,,CHR_001,right
CAP000206,S006,SE01,CAL_005,leaning_backward,,,,4,controlled,pending,,CHR_001,right
CAP000207,S006,SE01,CAL_005,leaning_backward,,,,5,controlled,pending,,CHR_001,right
CAP000208,S006,SE01,CAL_005,leaning_left,,,,1,controlled,pending,,CHR_001,right
CAP000209,S006,SE01,CAL_005,leaning_left,,,,2,controlled,pending,,CHR_001,right
CAP000210,S006,SE01,CAL_005,leaning_left,,,,3,controlled,pending,,CHR_001,right
CAP000211,S006,SE01,CAL_005,leaning_left,,,,4,controlled,pending,,CHR_001,right
CAP000212,S006,SE01,CAL_005,leaning_left,,,,5,controlled,pending,,CHR_001,right
CAP000213,S006,SE01,CAL_005,leaning_right,,,,1,controlled,pending,,CHR_001,right
CAP000214,S006,SE01,CAL_005,leaning_right,,,,2,controlled,pending,,CHR_001,right
CAP000215,S006,SE01,CAL_005,leaning_right,,,,3,controlled,pending,,CHR_001,right
CAP000216,S006,SE01,CAL_005,leaning_right,,,,4,controlled,pending,,CHR_001,right
CAP000217,S006,SE01,CAL_005,leaning_right,,,,5,controlled,pending,,CHR_001,right
CAP000218,S006,SE01,CAL_005,slouching,,,,1,controlled,pending,,CHR_001,right
CAP000219,S006,SE01,CAL_005,slouching,,,,2,controlled,pending,,CHR_001,right
CAP000220,S006,SE01,CAL_005,slouching,,,,3,controlled,pending,,CHR_001,right
CAP000221,S006,SE01,CAL_005,slouching,,,,4,controlled,pending,,CHR_001,right
CAP000222,S006,SE01,CAL_005,slouching,,,,5,controlled,pending,,CHR_001,right
CAP000223,S006,SE01,CAL_005,forward_head,,,,1,controlled,pending,,CHR_001,right
CAP000224,S006,SE01,CAL_005,forward_head,,,,2,controlled,pending,,CHR_001,right
CAP000225,S006,SE01,CAL_005,forward_head,,,,3,controlled,pending,,CHR_001,right
CAP000226,S006,SE01,CAL_005,forward_head,,,,4,controlled,pending,,CHR_001,right
CAP000227,S006,SE01,CAL_005,forward_head,,,,5,controlled,pending,,CHR_001,right
CAP000228,S006,SE01,CAL_005,reject,,,,1,controlled,pending,,CHR_001,right
CAP000229,S007,SE01,CAL_006,upright,,,,1,controlled,pending,
CAP000230,S007,SE01,CAL_006,upright,,,,1,controlled,pending,
CAP000231,S007,SE01,CAL_006,upright,,,,2,controlled,pending,
CAP000232,S007,SE01,CAL_006,upright,,,,3,controlled,pending,
CAP000233,S007,SE01,CAL_006,upright,,,,4,controlled,pending,
CAP000234,S007,SE01,CAL_006,upright,,,,5,controlled,pending,
CAP000235,S007,SE01,CAL_006,leaning_forward,,,,1,controlled,pending,
CAP000236,S007,SE01,CAL_006,leaning_forward,,,,2,controlled,pending,
CAP000237,S007,SE01,CAL_006,leaning_forward,,,,3,controlled,pending,
CAP000238,S007,SE01,CAL_006,leaning_forward,,,,4,controlled,pending,
CAP000239,S007,SE01,CAL_006,leaning_forward,,,,5,controlled,pending,
CAP000240,S007,SE01,CAL_006,leaning_backward,,,,1,controlled,pending,
CAP000241,S007,SE01,CAL_006,leaning_backward,,,,2,controlled,pending,
CAP000242,S007,SE01,CAL_006,leaning_backward,,,,3,controlled,pending,
CAP000243,S007,SE01,CAL_006,leaning_backward,,,,4,controlled,pending,
CAP000244,S007,SE01,CAL_006,leaning_backward,,,,5,controlled,pending,
CAP000245,S007,SE01,CAL_006,leaning_left,,,,1,controlled,pending,
CAP000246,S007,SE01,CAL_006,leaning_left,,,,2,controlled,pending,
CAP000247,S007,SE01,CAL_006,leaning_left,,,,3,controlled,pending,
CAP000248,S007,SE01,CAL_006,leaning_left,,,,4,controlled,pending,
CAP000249,S007,SE01,CAL_006,leaning_left,,,,5,controlled,pending,
CAP000250,S007,SE01,CAL_006,leaning_right,,,,1,controlled,pending,
CAP000251,S007,SE01,CAL_006,leaning_right,,,,2,controlled,pending,
CAP000252,S007,SE01,CAL_006,leaning_right,,,,3,controlled,pending,
CAP000253,S007,SE01,CAL_006,leaning_right,,,,4,controlled,pending,
CAP000254,S007,SE01,CAL_006,leaning_right,,,,5,controlled,pending,
CAP000255,S007,SE01,CAL_006,slouching,,,,1,controlled,pending,
CAP000256,S007,SE01,CAL_006,slouching,,,,2,controlled,pending,
CAP000257,S007,SE01,CAL_006,slouching,,,,3,controlled,pending,
CAP000258,S007,SE01,CAL_006,slouching,,,,4,controlled,pending,
CAP000259,S007,SE01,CAL_006,slouching,,,,5,controlled,pending,
CAP000260,S007,SE01,CAL_006,forward_head,,,,1,controlled,pending,
CAP000261,S007,SE01,CAL_006,forward_head,,,,2,controlled,pending,
CAP000262,S007,SE01,CAL_006,forward_head,,,,3,controlled,pending,
CAP000263,S007,SE01,CAL_006,forward_head,,,,4,controlled,pending,
CAP000264,S007,SE01,CAL_006,forward_head,,,,5,controlled,pending,
CAP000265,S007,SE01,CAL_006,reject,,,,1,controlled,pending,
CAP000266,S007,SE01,CAL_006,reject,,,,1,controlled,pending,
CAP000267,S007,SE01,CAL_006,reject,,,,2,controlled,pending,
