cluster_id,cluster_size,labels,splits,mixed_label,cross_split,edge_count,min_edge_distance,max_edge_distance,mean_edge_distance,suggested_representative,review_priority
CL00016,45,leaning_forward | leaning_left | leaning_right | upright,train | valid,True,True,218,0,2,1.431,valid/leaning_forward/mb20196_jpg.rf.b01bcd70521012dcfd174424f3adf398.jpg,P1_mixed_label_cross_split
CL00017,43,leaning_forward | leaning_left,train | valid,True,True,124,0,2,1.379,train/leaning_left/extract1304_jpg.rf.8d5cc7a6c4b1b0b94d185f193a411a4d.jpg,P1_mixed_label_cross_split
CL00018,42,leaning_right,train,False,False,213,0,2,1.211,train/leaning_right/extract3554_jpg.rf.31ce7557f834f2eef399c701da08a6ac.jpg,P4_same_label_same_split
CL00019,42,leaning_forward | upright,train | valid,True,True,148,0,2,1.257,valid/leaning_forward/extract1576_jpg.rf.6ac8d40ecd55a6702337a7b7f1f0aafa.jpg,P1_mixed_label_cross_split
CL00020,35,leaning_backward | leaning_forward | leaning_right,test | train | valid,True,True,99,0,2,1.293,train/leaning_backward/mb20250_jpg.rf.03c411e6194f88538c9e21674706c62b.jpg,P1_mixed_label_cross_split
CL00021,32,leaning_forward | leaning_right | upright,train | valid,True,True,128,0,2,1.227,train/leaning_right/extract0462_jpg.rf.389634219f7b82f0a25325c5ea05dcbb.jpg,P1_mixed_label_cross_split
CL00022,32,leaning_right,train,False,False,255,0,2,1.106,train/leaning_right/extract2664_jpg.rf.17cef4f7923ada29980d3c2ba17cdf89.jpg,P4_same_label_same_split
CL00023,31,leaning_backward | upright,test | train | valid,True,True,77,0,2,1.26,valid/leaning_backward/extract2412_jpg.rf.2b4a31ea5dd8c7d16e49364ff25ca2fc.jpg,P1_mixed_label_cross_split
CL00024,31,leaning_forward | leaning_right,train | valid,True,True,97,0,2,1.237,train/leaning_right/extract0711_jpg.rf.2067ce9512aae71e781023091248291d.jpg,P1_mixed_label_cross_split
CL00025,30,leaning_forward,test,False,False,97,0,2,1.227,test/leaning_forward/extract0084_jpg.rf.b5b6ada2a3abdeaa30c58f3e70cef345.jpg,P4_same_label_same_split
CL00026,29,leaning_right,train,False,False,101,0,2,1.218,train/leaning_right/extract0510_jpg.rf.ab31f02fd61acaaca7bc758d9bc4f9c3.jpg,P4_same_label_same_split
CL00027,27,leaning_left,train,False,False,95,0,2,1.168,train/leaning_left/extract2524_jpg.rf.59756a2c2e1a15bbd44b87153925c84c.jpg,P4_same_label_same_split
CL00028,26,leaning_backward | leaning_forward | leaning_right,test | train | valid,True,True,71,0,2,1.535,train/leaning_backward/mb20279_jpg.rf.4a4711fdb021c6b6aca1b7b986b3c3d3.jpg,P1_mixed_label_cross_split
CL00029,26,leaning_right,train,False,False,58,0,2,1.259,train/leaning_right/extract2610_jpg.rf.15499d7f5006b3a89645640985ad8458.jpg,P4_same_label_same_split
CL00030,26,leaning_forward | upright,train | valid,True,True,78,0,2,1.346,train/upright/extract1552_jpg.rf.762ac249dbec2c60ea7ed0d8b75611e8.jpg,P1_mixed_label_cross_split
CL00031,26,leaning_forward,valid,False,False,186,0,2,1.269,valid/leaning_forward/extract1493_jpg.rf.e98385fc0891a6ea4db871dd6ca81247.jpg,P4_same_label_same_split
CL00032,23,leaning_left,train,False,False,55,0,2,1.255,train/leaning_left/extract1108_jpg.rf.e647de3dc775e401b27af4f95b5ea39e.jpg,P4_same_label_same_split
CL00033,23,leaning_right,train,False,False,119,0,2,1.21,train/leaning_right/extract3540_jpg.rf.873129ff779d796cc0ab429197927474.jpg,P4_same_label_same_split
CL00034,22,leaning_left,train,False,False,152,0,2,1.289,train/leaning_left/extract0791_jpg.rf.79c7f9cc692b98cc970d4153c26db41d.jpg,P4_same_label_same_split
CL00035,22,leaning_left,train,False,False,59,0,2,1.39,train/leaning_left/extract3387_jpg.rf.60aebe0cee49772b99475df39c4bca10.jpg,P4_same_label_same_split
CL00036,22,leaning_forward | upright,train | valid,True,True,76,0,2,1.276,train/upright/mb0024_jpg.rf.a448c6eb7449a136bfead2d15b374e37.jpg,P1_mixed_label_cross_split
CL00037,22,leaning_forward,valid,False,False,97,0,2,1.412,valid/leaning_forward/extract3182_jpg.rf.e37ecdd293aabb7b07de78d4429ba9a5.jpg,P4_same_label_same_split
CL00038,21,leaning_forward | leaning_left | leaning_right | upright,train | valid,True,True,49,0,2,1.592,train/leaning_right/mb20064_jpg.rf.bb831b0cebda16c58d8fa166105b1e36.jpg,P1_mixed_label_cross_split
CL00039,21,leaning_right,train,False,False,106,0,2,1.038,train/leaning_right/extract0751_jpg.rf.e4c4c63ddc7821cb7bc1f7358d480535.jpg,P4_same_label_same_split
CL00040,20,leaning_backward,test | train | valid,False,True,81,0,2,1.235,test/leaning_backward/extract2363_jpg.rf.341137ff33ff013450b0e3b679dfbf1f.jpg,P2_cross_split
CL00041,20,leaning_forward,test,False,False,102,0,2,1.157,test/leaning_forward/extract2256_jpg.rf.d4941c508e8cb38e66c9510fd765373c.jpg,P4_same_label_same_split
CL00042,20,leaning_left | upright,train,True,False,76,0,2,1.026,train/leaning_left/extract3147_jpg.rf.3d967ab428c6a2b4f1956654693b4469.jpg,P3_mixed_label
CL00043,20,leaning_right,train,False,False,51,0,2,1.373,train/leaning_right/extract0538_jpg.rf.56c4d2fe9d6574fb466d9f502d578188.jpg,P4_same_label_same_split
CL00044,19,leaning_forward,test | valid,False,True,86,0,2,0.709,valid/leaning_forward/extract0330_jpg.rf.49da8baf8da4b5e3e41cb248f7e6cbc5.jpg,P2_cross_split
CL00045,19,upright,train,False,False,61,0,2,1.066,train/upright/extract2937_jpg.rf.fab8346fe5deccb0f650009d1e74174d.jpg,P4_same_label_same_split
CL00046,19,leaning_forward | upright,train | valid,True,True,146,0,2,0.918,train/upright/mb0378_jpg.rf.73c03faee6300d2fd88ec112aaffe096.jpg,P1_mixed_label_cross_split
CL00047,18,leaning_left,train,False,False,71,0,2,1.085,train/leaning_left/extract0426_jpg.rf.6122f2431e1adc70db5b685905a00033.jpg,P4_same_label_same_split
CL00048,18,upright,train,False,False,62,0,2,1.339,train/upright/extract0890_jpg.rf.302e704635ecf3407e3815d140bd5a98.jpg,P4_same_label_same_split
CL00049,17,leaning_forward | upright,test | train,True,True,37,0,2,1.378,train/upright/extract2287_jpg.rf.29d5a62af84675b3a6dd8f8c296767f5.jpg,P1_mixed_label_cross_split
CL00050,17,leaning_left,train,False,False,31,0,2,1.387,train/leaning_left/extract0806_jpg.rf.224513e4f4ba9429152d33aba3f97cf0.jpg,P4_same_label_same_split
CL00051,17,leaning_right,train,False,False,40,0,2,1.25,train/leaning_right/extract0712_jpg.rf.56f74dd3f34e8f0a368c8282d04267f1.jpg,P4_same_label_same_split
CL00052,17,leaning_right,train,False,False,54,0,2,1.204,train/leaning_right/extract1940_jpg.rf.0e17b8e1a72aefe88b0fe0ebd3b3001b.jpg,P4_same_label_same_split
CL00053,16,leaning_forward | upright,test | train,True,True,33,0,2,1.182,train/upright/extract2436_jpg.rf.f4a7f2a54d35f9e6e217074736cab9b5.jpg,P1_mixed_label_cross_split
CL00054,16,leaning_forward,test | valid,False,True,62,0,2,1.097,valid/leaning_forward/extract2821_jpg.rf.d7e18a7b54fd2a663045ff6438018632.jpg,P2_cross_split
CL00055,16,leaning_right,train,False,False,88,0,2,1.193,train/leaning_right/extract1952_jpg.rf.29c80f3339de27c8c030d492aaad096f.jpg,P4_same_label_same_split
CL00056,16,leaning_right,train,False,False,72,0,2,1.028,train/leaning_right/extract1962_jpg.rf.58698b7ced9250d675982d626b6ebbf7.jpg,P4_same_label_same_split
CL00057,15,leaning_forward,test,False,False,31,0,2,1.355,test/leaning_forward/extract0066_jpg.rf.2b38802e66ae2e74c53a14861b4e5a23.jpg,P4_same_label_same_split
CL00058,15,leaning_forward | leaning_right,train | valid,True,True,28,0,2,1.071,valid/leaning_forward/extract1376_jpg.rf.947b70c904460328f01feb6c4f0d0daa.jpg,P1_mixed_label_cross_split
CL00059,14,leaning_forward,test,False,False,74,0,2,1.014,test/leaning_forward/extract2214_jpg.rf.3e07242b9ef82ad70ed75d7ab2b0e432.jpg,P4_same_label_same_split
CL00060,14,leaning_right,train,False,False,46,0,2,1.239,train/leaning_right/extract3032_jpg.rf.fa084e52a31cf44d1c028ada66ee8561.jpg,P4_same_label_same_split
CL00061,14,leaning_right | upright,train,True,False,26,0,2,1.115,train/upright/extract3324_jpg.rf.692a189628466890cfcd5a6cc62c6271.jpg,P3_mixed_label
CL00062,14,leaning_forward,valid,False,False,51,0,2,0.961,valid/leaning_forward/extract1486_jpg.rf.b21811b0d2b917a4a54107ea52c2e209.jpg,P4_same_label_same_split
CL00063,13,leaning_forward,test,False,False,37,0,2,1.378,test/leaning_forward/extract0110_jpg.rf.41cb01a421c6f8ad83822817c42a0ed1.jpg,P4_same_label_same_split
CL00064,13,leaning_forward | leaning_right,train | valid,True,True,13,0,2,1.615,valid/leaning_forward/extract1362_jpg.rf.24529febd809c9ae2b58a051a1b1d013.jpg,P1_mixed_label_cross_split
CL00065,13,upright,train,False,False,32,0,2,1.344,train/upright/mb0459_jpg.rf.e5fe62be4669bfe18b9b309930d95232.jpg,P4_same_label_same_split
CL00066,12,leaning_left,train,False,False,21,0,2,1.667,train/leaning_left/extract0818_jpg.rf.0ebdf31aaae81bc4d501cc348f0b73b8.jpg,P4_same_label_same_split
CL00067,12,leaning_right,train,False,False,48,0,2,0.75,train/leaning_right/extract0484_jpg.rf.d74d67055477a1a29d472e3b7e215519.jpg,P4_same_label_same_split
CL00068,12,leaning_right,train,False,False,52,0,2,1.154,train/leaning_right/extract1916_jpg.rf.16be4095a79687b217b295b5cbcb2dab.jpg,P4_same_label_same_split
CL00069,11,leaning_left,train,False,False,16,0,2,1.25,train/leaning_left/extract1750_jpg.rf.fc9ae3b6840d8af4f8d7b56faca18746.jpg,P4_same_label_same_split
CL00070,11,leaning_right,train,False,False,26,0,2,1.115,train/leaning_right/extract3504_jpg.rf.e546168b3312096074cd81ef9aee3ade.jpg,P4_same_label_same_split
CL00071,11,leaning_right,train,False,False,29,0,2,1.379,train/leaning_right/mb20037_jpg.rf.13faf23e7766cf37a7f2254e17d6ef9a.jpg,P4_same_label_same_split
CL00072,11,leaning_forward | leaning_right,train | valid,True,True,25,0,2,1.12,train/leaning_right/mb20258_jpg.rf.bf9097194f4cceca7151a2796088642f.jpg,P1_mixed_label_cross_split
CL00073,11,upright,train,False,False,21,0,2,1.286,train/upright/extract3114_jpg.rf.588a01f772e14f7685c4d648288eb665.jpg,P4_same_label_same_split
CL00074,11,leaning_forward,valid,False,False,27,0,2,1.074,valid/leaning_forward/extract1616_jpg.rf.6988793ba204b298a9d3f6ad4869a1ac.jpg,P4_same_label_same_split
CL00075,10,leaning_forward | upright,test | train,True,True,14,0,2,1.5,train/upright/extract2708_jpg.rf.7e33d2d8295220d886f61eec27b088e6.jpg,P1_mixed_label_cross_split
CL00076,10,leaning_left,train,False,False,12,0,2,1.25,train/leaning_left/extract1771_jpg.rf.95d685e1374c4080fd5948e56e3399ac.jpg,P4_same_label_same_split
CL00077,10,leaning_left,train,False,False,26,0,2,1.462,train/leaning_left/extract2506_jpg.rf.60048423c1ef538ba276073700534c19.jpg,P4_same_label_same_split
CL00078,10,leaning_left,train,False,False,25,0,2,1.28,train/leaning_left/extract3456_jpg.rf.7f7b322d829a28c2f9a02e5de8a773d7.jpg,P4_same_label_same_split
CL00079,10,leaning_left,train,False,False,25,0,2,0.72,train/leaning_left/extract3466_jpg.rf.0b0498816ebd4b31d33855f53d151389.jpg,P4_same_label_same_split
CL00080,9,leaning_backward,test | train | valid,False,True,15,0,2,0.8,valid/leaning_backward/mb0145_jpg.rf.43a55590fbd0e750d541e9fff62fe67b.jpg,P2_cross_split
CL00081,9,leaning_left,test | train,False,True,16,0,2,1.25,train/leaning_left/mb20052_jpg.rf.fb1dfa9de38100e0454e2776ada4659f.jpg,P2_cross_split
CL00082,9,leaning_backward,train | valid,False,True,33,0,2,1.121,train/leaning_backward/extract3264_jpg.rf.7d9284b4385cf049abdca41e36475702.jpg,P2_cross_split
CL00083,9,leaning_forward | leaning_left,train | valid,True,True,13,0,2,1.462,train/leaning_left/extract1282_jpg.rf.d8ccb287a61bddf98de72ae47d53d7c2.jpg,P1_mixed_label_cross_split
CL00084,9,leaning_left,train,False,False,17,0,2,1.353,train/leaning_left/extract3471_jpg.rf.77cfa83209a3ee5801738a50eac96da9.jpg,P4_same_label_same_split
CL00085,9,leaning_forward | leaning_left | leaning_right,train | valid,True,True,11,0,2,1.455,train/leaning_right/extract3494_jpg.rf.53f45bdd0a544670d621dae809508b75.jpg,P1_mixed_label_cross_split
CL00086,8,leaning_backward,test | train,False,True,18,0,2,1.389,test/leaning_backward/extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg,P2_cross_split
CL00087,8,upright,train,False,False,26,0,2,0.769,train/upright/extract2922_jpg.rf.c97d023fded786b89ab3a927af3ab30e.jpg,P4_same_label_same_split
CL00088,8,upright,train,False,False,10,0,2,1.1,train/upright/mb0439_jpg.rf.9d7406c08b9103f255058c103c88736f.jpg,P4_same_label_same_split
CL00089,7,leaning_backward | upright,test | train | valid,True,True,15,0,2,1.267,train/upright/mb0486_jpg.rf.10d4d8108b49e5078b0fa2a43bb2a57b.jpg,P1_mixed_label_cross_split
CL00090,7,leaning_forward,test,False,False,20,0,2,0.75,test/leaning_forward/extract0034_jpg.rf.ecae8c5776af438dd339e2495e9c8964.jpg,P4_same_label_same_split
CL00091,7,leaning_forward,test,False,False,10,1,2,1.5,test/leaning_forward/extract0122_jpg.rf.6cd7c82c63c16ada38b0fdbe2c011fab.jpg,P4_same_label_same_split
CL00092,7,leaning_forward | leaning_right,test | train,True,True,13,0,2,1.077,train/leaning_right/extract2690_jpg.rf.64d434dffb5308a032a16658783a9924.jpg,P1_mixed_label_cross_split
CL00093,7,leaning_left,test | train,False,True,12,0,2,1.5,train/leaning_left/mb20240_jpg.rf.327c8916f72369cb99604fef3808de06.jpg,P2_cross_split
CL00094,7,leaning_backward,train | valid,False,True,14,0,2,1.571,train/leaning_backward/extract2405_jpg.rf.3393396ab17bdb25e922cb88c0a875e3.jpg,P2_cross_split
CL00095,7,leaning_backward,train | valid,False,True,19,0,2,0.842,valid/leaning_backward/mb0446_jpg.rf.8923a827d987fa772544bf4ed3036a61.jpg,P2_cross_split
CL00096,7,leaning_right,train,False,False,10,0,2,1.3,train/leaning_right/extract2684_jpg.rf.08bf3b83981143109e74cd29863a0f34.jpg,P4_same_label_same_split
CL00097,7,leaning_right,train,False,False,21,0,2,1.048,train/leaning_right/extract3510_jpg.rf.4acb68b39feda2a0dd7f75e2a6ea2a4a.jpg,P4_same_label_same_split
CL00098,7,leaning_right,train,False,False,14,0,2,1.0,train/leaning_right/mb20093_jpg.rf.11854d67ec97a39f7c99d88f4b86c538.jpg,P4_same_label_same_split
CL00099,7,upright,train,False,False,13,0,2,1.385,train/upright/VidWebCam_frame_1309_png_jpg.rf.e54279ba240b0a2793d92215c88c0423.jpg,P4_same_label_same_split
CL00100,7,upright,train,False,False,17,0,2,1.294,train/upright/extract2294_jpg.rf.cd6d06b8b763babfbd097ccb9f4a2dee.jpg,P4_same_label_same_split
CL00101,7,upright,train,False,False,14,0,2,1.214,train/upright/mb0224_jpg.rf.0b461703a9f21fcbbb4f834bcba41b24.jpg,P4_same_label_same_split
CL00102,7,leaning_forward,valid,False,False,7,1,2,1.857,valid/leaning_forward/VidWebCam_frame_1771_png_jpg.rf.18b284ca38ec60a0201c261bc5c666e3.jpg,P4_same_label_same_split
CL00103,7,leaning_forward,valid,False,False,9,0,2,1.333,valid/leaning_forward/extract1414_jpg.rf.a0494d7434092eb7e979f0c8ff4a3439.jpg,P4_same_label_same_split
CL00104,6,leaning_backward,test | train | valid,False,True,12,0,2,1.833,train/leaning_backward/extract0004_jpg.rf.20cadeada9bb923acaa5a40b60011cc6.jpg,P2_cross_split
CL00105,6,leaning_forward,test,False,False,5,1,2,1.8,test/leaning_forward/extract0007_jpg.rf.30e69704582633c287e3eb9041e6e30b.jpg,P4_same_label_same_split
CL00106,6,leaning_forward,test,False,False,6,0,2,1.167,test/leaning_forward/extract0052_jpg.rf.75605433e43082bf23f79655a9efaa0a.jpg,P4_same_label_same_split
CL00107,6,leaning_forward,test | valid,False,True,11,0,2,1.091,valid/leaning_forward/extract2827_jpg.rf.a70bafc12c9ca71683b62239d2812806.jpg,P2_cross_split
CL00108,6,leaning_backward,train,False,False,8,0,2,1.5,train/leaning_backward/extract2328_jpg.rf.faadbb37f680f4a88ae166af6524cd01.jpg,P4_same_label_same_split
CL00109,6,leaning_backward,train,False,False,10,1,2,1.7,train/leaning_backward/extract3241_jpg.rf.0c1a24cbb7fe5c267e4f2296181def4a.jpg,P4_same_label_same_split
CL00110,6,leaning_backward,train | valid,False,True,7,0,2,1.429,train/leaning_backward/mb0509_jpg.rf.77c944f0d49963fffa990d3d3587cbc6.jpg,P2_cross_split
CL00111,6,leaning_forward | leaning_left,train | valid,True,True,15,0,2,1.467,valid/leaning_forward/extract1240_jpg.rf.33b5e5db292cb57702c3527cbd69f59f.jpg,P1_mixed_label_cross_split
CL00112,6,leaning_forward | leaning_left,train | valid,True,True,6,0,2,1.5,train/leaning_left/extract1290_jpg.rf.0180bb9051cc36c59d82d5f34127840c.jpg,P1_mixed_label_cross_split
CL00113,6,leaning_left,train,False,False,15,0,1,0.333,train/leaning_left/mb20023_jpg.rf.5226436006e641a5f279d347dbb3a4cc.jpg,P4_same_label_same_split
CL00114,6,leaning_right,train,False,False,8,0,2,1.375,train/leaning_right/extract0730_jpg.rf.e8d35b9dc7e604566f69ca8af44ee2aa.jpg,P4_same_label_same_split
CL00115,6,leaning_right,train,False,False,6,0,2,1.167,train/leaning_right/extract2676_jpg.rf.d3f9ff6387c2bc03ec94378abcc1ebc1.jpg,P4_same_label_same_split
CL00116,6,leaning_right,train,False,False,11,0,2,1.455,train/leaning_right/extract3584_jpg.rf.7608558ef4f148e76ced25af8f47e210.jpg,P4_same_label_same_split
CL00117,6,leaning_right,train,False,False,14,0,2,1.071,train/leaning_right/mb20136_jpg.rf.f6dced5a330e0ef7d34fb173bf5989a3.jpg,P4_same_label_same_split
CL00118,6,upright,train,False,False,15,0,2,0.667,train/upright/extract0005_jpg.rf.230cbfea5d58e13622b3a9b1ffec9b38.jpg,P4_same_label_same_split
CL00119,6,upright,train,False,False,15,0,2,0.667,train/upright/mb0163_jpg.rf.66d86af95a1330672d21b587f729ce93.jpg,P4_same_label_same_split
CL00120,6,leaning_forward,valid,False,False,6,1,2,1.5,valid/leaning_forward/extract1410_jpg.rf.a407ae72a7ffeb83304d1eb07fe81846.jpg,P4_same_label_same_split
CL00121,6,leaning_forward,valid,False,False,15,0,2,0.667,valid/leaning_forward/extract1678_jpg.rf.3cbecd7ef9ae3120e9859ae6e0cbf0a4.jpg,P4_same_label_same_split
CL00122,6,leaning_forward,valid,False,False,15,0,1,0.333,valid/leaning_forward/extract3190_jpg.rf.b977ed9229cf6508fb227956d28df9f1.jpg,P4_same_label_same_split
CL00123,5,leaning_backward,test | train,False,True,7,0,2,1.286,test/leaning_backward/extract2337_jpg.rf.252b286b6a53e82bd5299eff3e97ea23.jpg,P2_cross_split
CL00124,5,leaning_backward,test | train | valid,False,True,7,0,2,1.286,train/leaning_backward/mb0259_jpg.rf.9d864851f507616c6728647f4034986a.jpg,P2_cross_split
CL00125,5,leaning_backward,test | train | valid,False,True,6,0,2,1.667,train/leaning_backward/mb0480_jpg.rf.b6ff7b1b65b68a5b3c83d1a797ba05c6.jpg,P2_cross_split
CL00126,5,leaning_forward,test | valid,False,True,5,0,2,1.0,valid/leaning_forward/extract2836_jpg.rf.ac1fd8d5e48270939e024b1314254cfa.jpg,P2_cross_split
CL00127,5,leaning_backward,train,False,False,10,0,2,1.0,train/leaning_backward/extract0003_jpg.rf.5fe4d9ca1236042ac438ab5452c91c9f.jpg,P4_same_label_same_split
CL00128,5,leaning_backward | leaning_forward | upright,train | valid,True,True,10,0,2,0.8,train/upright/mb0133_jpg.rf.a8f9bcef764e01fd715e4eb38bb7de23.jpg,P1_mixed_label_cross_split
CL00129,5,leaning_backward,train | valid,False,True,7,0,2,1.286,train/leaning_backward/mb20303_jpg.rf.37fd97468750ba72e1b6c417c4eaca9b.jpg,P2_cross_split
CL00130,5,leaning_left,train,False,False,10,0,1,0.6,train/leaning_left/extract0824_jpg.rf.6166b1e8bef09884287301711686a6ca.jpg,P4_same_label_same_split
CL00131,5,leaning_left,train,False,False,5,1,2,1.4,train/leaning_left/extract1836_jpg.rf.f70037848ca16ec5484a68ee67586895.jpg,P4_same_label_same_split
CL00132,5,leaning_left,train,False,False,6,0,2,1.333,train/leaning_left/extract3006_jpg.rf.3a7d7e1e6e688096e00cb69f25f6d17f.jpg,P4_same_label_same_split
CL00133,5,leaning_forward | leaning_left | upright,train | valid,True,True,4,1,2,1.75,train/upright/mb0535_jpg.rf.ec52c69b22471e9994dc7715a3f02ae1.jpg,P1_mixed_label_cross_split
CL00134,5,leaning_right,train,False,False,8,1,2,1.5,train/leaning_right/mb20163_jpg.rf.ab212f9fbea1a2ff90821696ec073212.jpg,P4_same_label_same_split
CL00135,5,upright,train,False,False,10,0,2,1.0,train/upright/extract2912_jpg.rf.bf758880a546add4ec7c2c26a9cea193.jpg,P4_same_label_same_split
CL00136,5,upright,train,False,False,7,0,2,1.571,train/upright/mb0264_jpg.rf.58cc21787a3da12f99a3148a6927baad.jpg,P4_same_label_same_split
CL00137,5,upright,train,False,False,5,1,2,1.8,train/upright/mb0355_jpg.rf.160b04d740ac04759ea07b1ab1fceb8e.jpg,P4_same_label_same_split
CL00138,5,upright,train,False,False,7,1,2,1.571,train/upright/mb0488_jpg.rf.107f6293a0c991eac3a8826413ac21ee.jpg,P4_same_label_same_split
CL00139,4,leaning_backward,test | train | valid,False,True,6,0,2,1.0,train/leaning_backward/extract0622_jpg.rf.5d0b909b2b954804241172bf83ab74e0.jpg,P2_cross_split
CL00140,4,leaning_forward | upright,test | train,True,True,5,1,2,1.4,train/upright/extract0028_jpg.rf.b38da9353b6e3bb27dc0f49edb4a2aff.jpg,P1_mixed_label_cross_split
CL00141,4,leaning_left,test | train,False,True,6,0,2,1.0,train/leaning_left/mb20127_jpg.rf.92dbc3fc2cbe40f595a8af7f1cb1e950.jpg,P2_cross_split
CL00142,4,leaning_backward,train,False,False,6,0,0,0.0,train/leaning_backward/extract0012_jpg.rf.28e0035829c04c1912fcd573f9c2eede.jpg,P4_same_label_same_split
CL00143,4,leaning_backward,train | valid,False,True,3,2,2,2.0,train/leaning_backward/extract0616_jpg.rf.ad6e2db3b8f0d480b3bbdce0bab0051d.jpg,P2_cross_split
CL00144,4,leaning_backward,train | valid,False,True,4,1,2,1.5,train/leaning_backward/extract3245_jpg.rf.727fe21933b253ed95af7801fb75189d.jpg,P2_cross_split
CL00145,4,leaning_backward | leaning_left,train,True,False,3,1,2,1.667,train/leaning_left/extract3280_jpg.rf.df97b07f708838470d447923b27bbc69.jpg,P3_mixed_label
CL00146,4,leaning_backward,train | valid,False,True,5,2,2,2.0,train/leaning_backward/mb0073_jpg.rf.f0d3720d35cc68c6728e973eef982a12.jpg,P2_cross_split
CL00147,4,leaning_backward,train | valid,False,True,4,1,2,1.5,train/leaning_backward/mb0316_jpg.rf.17ea032a97c3203b6b1d8208c7df5bd2.jpg,P2_cross_split
CL00148,4,leaning_backward,train,False,False,3,1,2,1.667,train/leaning_backward/mb20269_jpg.rf.936851aeca2c0dedcbe75096f7a29132.jpg,P4_same_label_same_split
CL00149,4,leaning_left,train,False,False,3,1,2,1.667,train/leaning_left/extract0410_jpg.rf.9117c2d9b1627c8c7d43494b0aca6b00.jpg,P4_same_label_same_split
CL00150,4,leaning_left,train,False,False,6,0,1,0.667,train/leaning_left/extract0414_jpg.rf.3523e5e9323e4137215193e05533836a.jpg,P4_same_label_same_split
CL00151,4,leaning_left,train,False,False,6,0,1,0.667,train/leaning_left/extract1299_jpg.rf.2a407e48be3b25138b0cb52256d816bc.jpg,P4_same_label_same_split
CL00152,4,leaning_left,train,False,False,4,0,2,1.25,train/leaning_left/extract2538_jpg.rf.ab675f26662a30a12ea68b5696a91cad.jpg,P4_same_label_same_split
CL00153,4,leaning_left,train,False,False,6,0,2,1.167,train/leaning_left/mb0387_jpg.rf.c89678b182aa4b1b18c00ad941a774e1.jpg,P4_same_label_same_split
CL00154,4,leaning_left,train,False,False,6,0,2,1.0,train/leaning_left/mb20168_jpg.rf.1dad60287f436724aecba012bd78cb39.jpg,P4_same_label_same_split
