image_id,relative_path,original_path,original_split,original_label,final_label,subject_group,session_group,sequence_group,camera_view,torso_visible,shoulders_visible,hips_visible,label_quality,decision,notes,cluster_id,cluster_size,cluster_mixed_label,cluster_cross_split,suggested_representative,width,height,edge_variance,brightness_mean
IMG00016,test/leaning_backward/extract0624_jpg.rf.951de2a07e986dd4a90b9c6275eeac3c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0624_jpg.rf.951de2a07e986dd4a90b9c6275eeac3c.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,248.4935,111.6802
IMG00017,test/leaning_backward/extract0626_jpg.rf.2a0028b4515061e42e9d4cd185ae5b7c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0626_jpg.rf.2a0028b4515061e42e9d4cd185ae5b7c.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,164.3153,111.8944
IMG00018,test/leaning_backward/extract0626_jpg.rf.2c31fd90121e21c682bb44b3ff773210.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0626_jpg.rf.2c31fd90121e21c682bb44b3ff773210.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,251.6728,111.6719
IMG00019,test/leaning_backward/extract2314_jpg.rf.5de2fbe76ab6a0b61ca755b44fe6680f.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2314_jpg.rf.5de2fbe76ab6a0b61ca755b44fe6680f.jpg,test,leaning_backward,,,,extract_block_0092,,,,,,,,,1,False,False,False,1080,720,162.126,111.7675
IMG00020,test/leaning_backward/extract2315_jpg.rf.bd0871fa15402a3c44c31f827b7367d1.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2315_jpg.rf.bd0871fa15402a3c44c31f827b7367d1.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,247.0265,112.7929
IMG00021,test/leaning_backward/extract2317_jpg.rf.1108843af13f5a3f48e57db881b346f1.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2317_jpg.rf.1108843af13f5a3f48e57db881b346f1.jpg,test,leaning_backward,,,,extract_block_0092,,,,,,,,,1,False,False,False,1080,720,173.4184,114.7296
IMG00022,test/leaning_backward/extract2328_jpg.rf.19f11a616e0b0290bf9d5dfbdc628b0c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2328_jpg.rf.19f11a616e0b0290bf9d5dfbdc628b0c.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,269.1255,119.684
IMG00023,test/leaning_backward/extract2337_jpg.rf.252b286b6a53e82bd5299eff3e97ea23.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2337_jpg.rf.252b286b6a53e82bd5299eff3e97ea23.jpg,test,leaning_backward,,,,CL00123,,,,,,,,CL00123,5,False,True,True,1080,720,190.8254,120.6523
IMG00024,test/leaning_backward/extract2337_jpg.rf.f69308a1bb0ee1cfac87c410ad45caba.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2337_jpg.rf.f69308a1bb0ee1cfac87c410ad45caba.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,276.2467,120.6442
IMG00025,test/leaning_backward/extract2343_jpg.rf.bc7dd1b550e5978c98c4602efa9b37c4.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2343_jpg.rf.bc7dd1b550e5978c98c4602efa9b37c4.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,187.5558,122.0773
IMG00026,test/leaning_backward/extract2357_jpg.rf.651a032aa596cf4fbf0eae33b4c2bfe5.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2357_jpg.rf.651a032aa596cf4fbf0eae33b4c2bfe5.jpg,test,leaning_backward,,,,CL00040,,,,,,,,CL00040,20,False,True,False,1080,720,202.8412,123.3429
IMG00027,test/leaning_backward/extract2360_jpg.rf.717ae1cb99bcecfef2591d2aa86b28cc.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2360_jpg.rf.717ae1cb99bcecfef2591d2aa86b28cc.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,True,1080,720,303.4957,122.4437
IMG00028,test/leaning_backward/extract2363_jpg.rf.341137ff33ff013450b0e3b679dfbf1f.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2363_jpg.rf.341137ff33ff013450b0e3b679dfbf1f.jpg,test,leaning_backward,,,,CL00040,,,,,,,,CL00040,20,False,True,True,1080,718,211.6161,123.1684
IMG00029,test/leaning_backward/extract2364_jpg.rf.9dd425d1c0951b6f3d805ac01033edf4.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2364_jpg.rf.9dd425d1c0951b6f3d805ac01033edf4.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,205.3728,122.4614
IMG00030,test/leaning_backward/extract2364_jpg.rf.a7a1023e182b97d881615837cf6c4615.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2364_jpg.rf.a7a1023e182b97d881615837cf6c4615.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,301.0225,122.2386
IMG00031,test/leaning_backward/extract2365_jpg.rf.0ccca2c6614d61447d03a1e384c5956d.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2365_jpg.rf.0ccca2c6614d61447d03a1e384c5956d.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,295.79,122.122
IMG00032,test/leaning_backward/extract2378_jpg.rf.b36a51947dadf016c43ce73c61308dbc.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2378_jpg.rf.b36a51947dadf016c43ce73c61308dbc.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,200.2961,120.4631
IMG00033,test/leaning_backward/extract2387_jpg.rf.b6c0a56ac06f6b739825fdd4fecd7a8c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2387_jpg.rf.b6c0a56ac06f6b739825fdd4fecd7a8c.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,278.5202,118.0766
IMG00034,test/leaning_backward/extract2389_jpg.rf.88c38bf54c3b6532b536723064b5d079.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2389_jpg.rf.88c38bf54c3b6532b536723064b5d079.jpg,test,leaning_backward,,,,CL00040,,,,,,,,CL00040,20,False,True,False,1080,718,190.1484,118.4109
IMG00035,test/leaning_backward/extract2391_jpg.rf.22054cefc67778e79e86ceeef5e6f051.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2391_jpg.rf.22054cefc67778e79e86ceeef5e6f051.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,282.5797,118.0923
IMG00036,test/leaning_backward/extract2396_jpg.rf.d78ab4423155f318542162e159654eac.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2396_jpg.rf.d78ab4423155f318542162e159654eac.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,294.6152,119.0912
IMG00037,test/leaning_backward/extract2406_jpg.rf.110096db6db7215a860d399020fbc6a9.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2406_jpg.rf.110096db6db7215a860d399020fbc6a9.jpg,test,leaning_backward,,,,CL00004,,,,,,,,CL00004,154,True,True,False,1080,720,291.7333,119.3069
IMG00038,test/leaning_backward/extract2411_jpg.rf.08fc4ac6e60379251ebf23afa3aa7616.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2411_jpg.rf.08fc4ac6e60379251ebf23afa3aa7616.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,720,190.5251,118.4798
IMG00039,test/leaning_backward/extract2417_jpg.rf.be8d46bf007c4864ac64dc1bbd8d0c90.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2417_jpg.rf.be8d46bf007c4864ac64dc1bbd8d0c90.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,720,277.4926,117.8799
IMG00040,test/leaning_backward/extract2418_jpg.rf.3b3958595bbda2516695f9d4e4b13729.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2418_jpg.rf.3b3958595bbda2516695f9d4e4b13729.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,720,184.9982,117.4672
IMG00041,test/leaning_backward/extract2418_jpg.rf.45530c5e25ef71e0849c0ca3ffca6946.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2418_jpg.rf.45530c5e25ef71e0849c0ca3ffca6946.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,720,276.549,117.4539
IMG00042,test/leaning_backward/extract2421_jpg.rf.923323ef7c246b7eab6c10726892b8e6.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2421_jpg.rf.923323ef7c246b7eab6c10726892b8e6.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,718,186.3112,116.6495
IMG00043,test/leaning_backward/extract2424_jpg.rf.d8e1f096e93f1fe678073f7ea15e4938.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract2424_jpg.rf.d8e1f096e93f1fe678073f7ea15e4938.jpg,test,leaning_backward,,,,CL00023,,,,,,,,CL00023,31,True,True,False,1080,720,179.5173,115.5244
IMG00044,test/leaning_backward/extract3230_jpg.rf.34356384c9eb63f2b9fa8d46b1950731.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3230_jpg.rf.34356384c9eb63f2b9fa8d46b1950731.jpg,test,leaning_backward,,,,CL00002,,,,,,,,CL00002,426,True,True,False,1080,720,216.128,114.9943
IMG00045,test/leaning_backward/extract3237_jpg.rf.6c1a6302d4106f00070e84eef863b18e.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3237_jpg.rf.6c1a6302d4106f00070e84eef863b18e.jpg,test,leaning_backward,,,,CL00002,,,,,,,,CL00002,426,True,True,False,1080,720,223.2537,114.6013
IMG00046,test/leaning_backward/extract3253_jpg.rf.4e54f84ae071b6618760aaa722196f0c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3253_jpg.rf.4e54f84ae071b6618760aaa722196f0c.jpg,test,leaning_backward,,,,CL00012,,,,,,,,CL00012,50,False,True,False,1080,720,159.4375,120.2015
IMG00047,test/leaning_backward/extract3254_jpg.rf.8b7b1753e168fe323a0aa73621fe3f86.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3254_jpg.rf.8b7b1753e168fe323a0aa73621fe3f86.jpg,test,leaning_backward,,,,CL00012,,,,,,,,CL00012,50,False,True,False,1080,720,238.64,119.9705
IMG00048,test/leaning_backward/extract3265_jpg.rf.d2bfc58292198ee3598af99eeb849dd6.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3265_jpg.rf.d2bfc58292198ee3598af99eeb849dd6.jpg,test,leaning_backward,,,,CL00012,,,,,,,,CL00012,50,False,True,False,1080,720,221.343,112.0275
IMG00049,test/leaning_backward/extract3273_jpg.rf.bb9fd52b20d6eb8cbe346967e1232a68.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3273_jpg.rf.bb9fd52b20d6eb8cbe346967e1232a68.jpg,test,leaning_backward,,,,CL00012,,,,,,,,CL00012,50,False,True,False,1080,720,150.615,112.5994
IMG00050,test/leaning_backward/extract3276_jpg.rf.0a64a1791779c90138aff085e4edd52d.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract3276_jpg.rf.0a64a1791779c90138aff085e4edd52d.jpg,test,leaning_backward,,,,CL00012,,,,,,,,CL00012,50,False,True,False,1080,720,226.6284,113.7375
IMG00051,test/leaning_backward/mb0168_jpg.rf.8a4de90ab892787dc7639d1f8189fc81.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0168_jpg.rf.8a4de90ab892787dc7639d1f8189fc81.jpg,test,leaning_backward,,,,CL00080,,,,,,,,CL00080,9,False,True,False,1080,720,314.5956,155.3412
IMG00052,test/leaning_backward/mb0169_jpg.rf.93779746b0fee685fbb83bce904071fe.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0169_jpg.rf.93779746b0fee685fbb83bce904071fe.jpg,test,leaning_backward,,,,CL00080,,,,,,,,CL00080,9,False,True,False,1079,720,310.3465,152.4784
IMG00053,test/leaning_backward/mb0219_jpg.rf.9b413f3d760ce989eb6c8018ae6d43d4.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0219_jpg.rf.9b413f3d760ce989eb6c8018ae6d43d4.jpg,test,leaning_backward,,,,mb_block_0008,,,,,,,,,1,False,False,False,1080,720,359.6692,156.8631
IMG00054,test/leaning_backward/mb0260_jpg.rf.7071dfb6a3bffe38fa4652350cc6db19.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0260_jpg.rf.7071dfb6a3bffe38fa4652350cc6db19.jpg,test,leaning_backward,,,,CL00124,,,,,,,,CL00124,5,False,True,False,1080,720,279.1151,158.3724
IMG00055,test/leaning_backward/mb0285_jpg.rf.4ea80556bc3d646fc74391d1eda67a77.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0285_jpg.rf.4ea80556bc3d646fc74391d1eda67a77.jpg,test,leaning_backward,,,,mb_block_0011,,,,,,,,,1,False,False,False,1079,720,319.1778,145.1043
IMG00056,test/leaning_backward/mb0318_jpg.rf.c6bdf8616b28844b639a6ded1e2dac59.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0318_jpg.rf.c6bdf8616b28844b639a6ded1e2dac59.jpg,test,leaning_backward,,,,CL00231,,,,,,,,CL00231,2,False,True,False,1079,720,263.3675,161.7453
IMG00057,test/leaning_backward/mb0371_jpg.rf.d26caadf4d3f3f32f674383d34795a78.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0371_jpg.rf.d26caadf4d3f3f32f674383d34795a78.jpg,test,leaning_backward,,,,mb_block_0014,,,,,,,,,1,False,False,False,1079,720,280.8846,169.8746
IMG00058,test/leaning_backward/mb0405_jpg.rf.f777db56432c1cc36b196293f2c5fdca.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0405_jpg.rf.f777db56432c1cc36b196293f2c5fdca.jpg,test,leaning_backward,,,,mb_block_0016,,,,,,,,,1,False,False,False,1080,720,346.3894,165.6471
IMG00059,test/leaning_backward/mb0433_jpg.rf.07c2202b4f00a9d43a6492d604200bfc.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0433_jpg.rf.07c2202b4f00a9d43a6492d604200bfc.jpg,test,leaning_backward,,,,mb_block_0017,,,,,,,,,1,False,False,False,1080,720,426.9961,148.7754
IMG00060,test/leaning_backward/mb0456_jpg.rf.9147061b86c1d46198cc1a428a872eed.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0456_jpg.rf.9147061b86c1d46198cc1a428a872eed.jpg,test,leaning_backward,,,,mb_block_0018,,,,,,,,,1,False,False,False,1080,720,387.6765,142.0014
IMG00061,test/leaning_backward/mb0479_jpg.rf.6be37a0ec82092dcae16341f790667ef.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0479_jpg.rf.6be37a0ec82092dcae16341f790667ef.jpg,test,leaning_backward,,,,CL00125,,,,,,,,CL00125,5,False,True,False,1080,720,550.718,143.9843
IMG00062,test/leaning_backward/mb0483_jpg.rf.04a37bec435851fd8cdb26a0c146eda6.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0483_jpg.rf.04a37bec435851fd8cdb26a0c146eda6.jpg,test,leaning_backward,,,,CL00089,,,,,,,,CL00089,7,True,True,False,1080,720,550.5524,141.7427
IMG00063,test/leaning_backward/mb0511_jpg.rf.cd9d457b02d9ca4a24a2b0ca3a647461.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0511_jpg.rf.cd9d457b02d9ca4a24a2b0ca3a647461.jpg,test,leaning_backward,,,,mb_block_0020,,,,,,,,,1,False,False,False,1079,720,305.7467,139.8837
IMG00064,test/leaning_backward/mb0512_jpg.rf.e6639760c6969746ea587a68e30cddd1.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb0512_jpg.rf.e6639760c6969746ea587a68e30cddd1.jpg,test,leaning_backward,,,,mb_block_0020,,,,,,,,,1,False,False,False,1080,720,302.7742,140.0881
IMG00065,test/leaning_backward/mb20212_jpg.rf.380a38c5fda710b8f14bad712f27e110.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20212_jpg.rf.380a38c5fda710b8f14bad712f27e110.jpg,test,leaning_backward,,,,CL00020,,,,,,,,CL00020,35,True,True,False,1079,720,251.5234,143.4841
IMG00066,test/leaning_backward/mb20221_jpg.rf.957d88a339622d8fd57ba681ef87461e.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20221_jpg.rf.957d88a339622d8fd57ba681ef87461e.jpg,test,leaning_backward,,,,mb_block_0808,,,,,,,,,1,False,False,False,1080,720,277.632,155.5075
IMG00067,test/leaning_backward/mb20248_jpg.rf.16fb551225d5ac1b086445670486d01c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20248_jpg.rf.16fb551225d5ac1b086445670486d01c.jpg,test,leaning_backward,,,,CL00020,,,,,,,,CL00020,35,True,True,False,1080,720,296.8389,156.4201
IMG00068,test/leaning_backward/mb20250_jpg.rf.483780220fcf60ce8a43c28d75dbb04f.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20250_jpg.rf.483780220fcf60ce8a43c28d75dbb04f.jpg,test,leaning_backward,,,,CL00020,,,,,,,,CL00020,35,True,True,False,1080,720,298.3871,155.473
IMG00069,test/leaning_backward/mb20251_jpg.rf.5898a82c947c8fd8059076475f90c11b.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20251_jpg.rf.5898a82c947c8fd8059076475f90c11b.jpg,test,leaning_backward,,,,CL00020,,,,,,,,CL00020,35,True,True,False,1080,720,296.5876,156.3756
IMG00070,test/leaning_backward/mb20266_jpg.rf.ef6426be07024ca479991fb118fbd7f2.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20266_jpg.rf.ef6426be07024ca479991fb118fbd7f2.jpg,test,leaning_backward,,,,mb_block_0810,,,,,,,,,1,False,False,False,1079,720,294.4656,156.0159
IMG00071,test/leaning_backward/mb20281_jpg.rf.1e93f6db2141318aaa20e9bc58adfb24.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20281_jpg.rf.1e93f6db2141318aaa20e9bc58adfb24.jpg,test,leaning_backward,,,,CL00028,,,,,,,,CL00028,26,True,True,False,1080,720,374.1956,134.7778
IMG00072,test/leaning_backward/mb20292_jpg.rf.94fdb17c070ed9adfa3bd1c32b3e1868.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\mb20292_jpg.rf.94fdb17c070ed9adfa3bd1c32b3e1868.jpg,test,leaning_backward,,,,CL00232,,,,,,,,CL00232,2,False,True,True,1079,720,207.7125,92.5753
IMG00073,test/leaning_forward/2023-11-21-031524_jpg.rf.0a17e7726a30ebc4f93b9a510443399c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_forward\2023-11-21-031524_jpg.rf.0a17e7726a30ebc4f93b9a510443399c.jpg,test,leaning_forward,,,,e_block_0309,,,,,,,,,1,False,False,False,1080,718,406.7486,147.5925
IMG00074,test/leaning_forward/2023-11-21-031524_jpg.rf.6d51736ae46cd3ef37dd0f82de885ed0.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_forward\2023-11-21-031524_jpg.rf.6d51736ae46cd3ef37dd0f82de885ed0.jpg,test,leaning_forward,,,,d_block_2069,,,,,,,,,1,False,False,False,1080,719,122.3077,117.1894
IMG00075,test/leaning_forward/2023-11-21-031524_jpg.rf.b2f768337139388a70d2e117841b745d.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_forward\2023-11-21-031524_jpg.rf.b2f768337139388a70d2e117841b745d.jpg,test,leaning_forward,,,,f_block_30733485575,,,,,,,,,1,False,False,False,1080,720,379.731,119.3978
