capture_id,subject_id,session_id,class_id,label,calibration_id,lateral_side,subset,fold_id
CAP000085,S003,SE01,0,upright,CAL_004,left,pilot,0
CAP000086,S003,SE01,0,upright,CAL_004,left,pilot,0
CAP000087,S003,SE01,0,upright,CAL_004,left,pilot,0
CAP000088,S003,SE01,1,leaning_forward,CAL_004,left,pilot,0
CAP000089,S003,SE01,1,leaning_forward,CAL_004,left,pilot,0
CAP000090,S003,SE01,1,leaning_forward,CAL_004,left,pilot,0
CAP000091,S003,SE01,1,leaning_forward,CAL_004,left,pilot,0
CAP000092,S003,SE01,1,leaning_forward,CAL_004,left,pilot,0
CAP000093,S003,SE01,2,leaning_backward,CAL_004,left,pilot,0
CAP000094,S003,SE01,2,leaning_backward,CAL_004,left,pilot,0
CAP000095,S003,SE01,2,leaning_backward,CAL_004,left,pilot,0
CAP000096,S003,SE01,2,leaning_backward,CAL_004,left,pilot,0
CAP000097,S003,SE01,2,leaning_backward,CAL_004,left,pilot,0
CAP000098,S003,SE01,3,leaning_left,CAL_004,left,pilot,0
CAP000099,S003,SE01,3,leaning_left,CAL_004,left,pilot,0
CAP000100,S003,SE01,3,leaning_left,CAL_004,left,pilot,0
CAP000101,S003,SE01,3,leaning_left,CAL_004,left,pilot,0
CAP000102,S003,SE01,3,leaning_left,CAL_004,left,pilot,0
CAP000103,S003,SE01,4,leaning_right,CAL_004,left,pilot,0
CAP000104,S003,SE01,4,leaning_right,CAL_004,left,pilot,0
CAP000105,S003,SE01,4,leaning_right,CAL_004,left,pilot,0
CAP000106,S003,SE01,4,leaning_right,CAL_004,left,pilot,0
CAP000107,S003,SE01,4,leaning_right,CAL_004,left,pilot,0
CAP000122,S004,SE01,0,upright,CAL_004,left,pilot,2
CAP000123,S004,SE01,0,upright,CAL_004,left,pilot,2
CAP000124,S004,SE01,0,upright,CAL_004,left,pilot,2
CAP000125,S004,SE01,0,upright,CAL_004,left,pilot,2
CAP000126,S004,SE01,0,upright,CAL_004,left,pilot,2
CAP000127,S004,SE01,1,leaning_forward,CAL_004,left,pilot,2
CAP000128,S004,SE01,1,leaning_forward,CAL_004,left,pilot,2
CAP000129,S004,SE01,1,leaning_forward,CAL_004,left,pilot,2
CAP000130,S004,SE01,1,leaning_forward,CAL_004,left,pilot,2
CAP000131,S004,SE01,1,leaning_forward,CAL_004,left,pilot,2
CAP000132,S004,SE01,2,leaning_backward,CAL_004,left,pilot,2
CAP000133,S004,SE01,2,leaning_backward,CAL_004,left,pilot,2
CAP000134,S004,SE01,2,leaning_backward,CAL_004,left,pilot,2
CAP000135,S004,SE01,2,leaning_backward,CAL_004,left,pilot,2
CAP000136,S004,SE01,2,leaning_backward,CAL_004,left,pilot,2
CAP000137,S004,SE01,3,leaning_left,CAL_004,left,pilot,2
CAP000138,S004,SE01,3,leaning_left,CAL_004,left,pilot,2
CAP000139,S004,SE01,3,leaning_left,CAL_004,left,pilot,2
CAP000140,S004,SE01,3,leaning_left,CAL_004,left,pilot,2
CAP000141,S004,SE01,3,leaning_left,CAL_004,left,pilot,2
CAP000142,S004,SE01,4,leaning_right,CAL_004,left,pilot,2
CAP000143,S004,SE01,4,leaning_right,CAL_004,left,pilot,2
CAP000144,S004,SE01,4,leaning_right,CAL_004,left,pilot,2
CAP000145,S004,SE01,4,leaning_right,CAL_004,left,pilot,2
CAP000146,S004,SE01,4,leaning_right,CAL_004,left,pilot,2
CAP000147,S004,SE01,5,slouching,CAL_004,left,pilot,2
CAP000148,S004,SE01,5,slouching,CAL_004,left,pilot,2
CAP000149,S004,SE01,5,slouching,CAL_004,left,pilot,2
CAP000150,S004,SE01,5,slouching,CAL_004,left,pilot,2
CAP000151,S004,SE01,5,slouching,CAL_004,left,pilot,2
CAP000157,S005,SE01,0,upright,CAL_005,right,controlled,3
CAP000158,S005,SE01,0,upright,CAL_005,right,controlled,3
CAP000159,S005,SE01,0,upright,CAL_005,right,controlled,3
CAP000160,S005,SE01,0,upright,CAL_005,right,controlled,3
CAP000161,S005,SE01,0,upright,CAL_005,right,controlled,3
CAP000162,S005,SE01,1,leaning_forward,CAL_005,right,controlled,3
CAP000163,S005,SE01,1,leaning_forward,CAL_005,right,controlled,3
CAP000164,S005,SE01,1,leaning_forward,CAL_005,right,controlled,3
CAP000165,S005,SE01,1,leaning_forward,CAL_005,right,controlled,3
CAP000166,S005,SE01,1,leaning_forward,CAL_005,right,controlled,3
CAP000167,S005,SE01,2,leaning_backward,CAL_005,right,controlled,3
CAP000168,S005,SE01,2,leaning_backward,CAL_005,right,controlled,3
CAP000169,S005,SE01,2,leaning_backward,CAL_005,right,controlled,3
CAP000170,S005,SE01,2,leaning_backward,CAL_005,right,controlled,3
CAP000171,S005,SE01,2,leaning_backward,CAL_005,right,controlled,3
CAP000172,S005,SE01,3,leaning_left,CAL_005,right,controlled,3
CAP000173,S005,SE01,3,leaning_left,CAL_005,right,controlled,3
CAP000174,S005,SE01,3,leaning_left,CAL_005,right,controlled,3
CAP000175,S005,SE01,3,leaning_left,CAL_005,right,controlled,3
CAP000176,S005,SE01,3,leaning_left,CAL_005,right,controlled,3
CAP000177,S005,SE01,4,leaning_right,CAL_005,right,controlled,3
CAP000178,S005,SE01,4,leaning_right,CAL_005,right,controlled,3
CAP000179,S005,SE01,4,leaning_right,CAL_005,right,controlled,3
CAP000180,S005,SE01,4,leaning_right,CAL_005,right,controlled,3
CAP000182,S005,SE01,5,slouching,CAL_005,right,controlled,3
CAP000183,S005,SE01,5,slouching,CAL_005,right,controlled,3
CAP000184,S005,SE01,5,slouching,CAL_005,right,controlled,3
CAP000185,S005,SE01,5,slouching,CAL_005,right,controlled,3
CAP000186,S005,SE01,5,slouching,CAL_005,right,controlled,3
CAP000193,S006,SE01,0,upright,CAL_005,right,controlled,0
CAP000194,S006,SE01,0,upright,CAL_005,right,controlled,0
CAP000195,S006,SE01,0,upright,CAL_005,right,controlled,0
CAP000196,S006,SE01,0,upright,CAL_005,right,controlled,0
CAP000197,S006,SE01,0,upright,CAL_005,right,controlled,0
CAP000198,S006,SE01,1,leaning_forward,CAL_005,right,controlled,0
CAP000199,S006,SE01,1,leaning_forward,CAL_005,right,controlled,0
CAP000200,S006,SE01,1,leaning_forward,CAL_005,right,controlled,0
CAP000201,S006,SE01,1,leaning_forward,CAL_005,right,controlled,0
CAP000202,S006,SE01,1,leaning_forward,CAL_005,right,controlled,0
CAP000203,S006,SE01,2,leaning_backward,CAL_005,right,controlled,0
CAP000204,S006,SE01,2,leaning_backward,CAL_005,right,controlled,0
CAP000205,S006,SE01,2,leaning_backward,CAL_005,right,controlled,0
CAP000206,S006,SE01,2,leaning_backward,CAL_005,right,controlled,0
CAP000207,S006,SE01,2,leaning_backward,CAL_005,right,controlled,0
CAP000208,S006,SE01,3,leaning_left,CAL_005,right,controlled,0
CAP000209,S006,SE01,3,leaning_left,CAL_005,right,controlled,0
CAP000210,S006,SE01,3,leaning_left,CAL_005,right,controlled,0
CAP000211,S006,SE01,3,leaning_left,CAL_005,right,controlled,0
CAP000212,S006,SE01,3,leaning_left,CAL_005,right,controlled,0
CAP000213,S006,SE01,4,leaning_right,CAL_005,right,controlled,0
CAP000214,S006,SE01,4,leaning_right,CAL_005,right,controlled,0
CAP000215,S006,SE01,4,leaning_right,CAL_005,right,controlled,0
CAP000216,S006,SE01,4,leaning_right,CAL_005,right,controlled,0
CAP000217,S006,SE01,4,leaning_right,CAL_005,right,controlled,0
CAP000218,S006,SE01,5,slouching,CAL_005,right,controlled,0
CAP000219,S006,SE01,5,slouching,CAL_005,right,controlled,0
CAP000221,S006,SE01,5,slouching,CAL_005,right,controlled,0
CAP000222,S006,SE01,5,slouching,CAL_005,right,controlled,0
CAP000379,S011,SE01,0,upright,CAL_009,right,controlled,3
CAP000381,S011,SE01,0,upright,CAL_009,right,controlled,3
CAP000382,S011,SE01,0,upright,CAL_009,right,controlled,3
CAP000383,S011,SE01,0,upright,CAL_009,right,controlled,3
CAP000384,S011,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000388,S011,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000389,S011,SE01,2,leaning_backward,CAL_009,right,controlled,3
CAP000390,S011,SE01,2,leaning_backward,CAL_009,right,controlled,3
CAP000391,S011,SE01,2,leaning_backward,CAL_009,right,controlled,3
CAP000392,S011,SE01,2,leaning_backward,CAL_009,right,controlled,3
CAP000393,S011,SE01,2,leaning_backward,CAL_009,right,controlled,3
CAP000394,S011,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000395,S011,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000396,S011,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000397,S011,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000398,S011,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000404,S011,SE01,5,slouching,CAL_009,right,controlled,3
CAP000405,S011,SE01,5,slouching,CAL_009,right,controlled,3
CAP000406,S011,SE01,5,slouching,CAL_009,right,controlled,3
CAP000407,S011,SE01,5,slouching,CAL_009,right,controlled,3
CAP000408,S011,SE01,5,slouching,CAL_009,right,controlled,3
CAP000416,S012,SE01,0,upright,CAL_009,right,controlled,1
CAP000417,S012,SE01,0,upright,CAL_009,right,controlled,1
CAP000418,S012,SE01,0,upright,CAL_009,right,controlled,1
CAP000419,S012,SE01,0,upright,CAL_009,right,controlled,1
CAP000420,S012,SE01,0,upright,CAL_009,right,controlled,1
CAP000421,S012,SE01,1,leaning_forward,CAL_009,right,controlled,1
CAP000422,S012,SE01,1,leaning_forward,CAL_009,right,controlled,1
CAP000423,S012,SE01,1,leaning_forward,CAL_009,right,controlled,1
CAP000424,S012,SE01,1,leaning_forward,CAL_009,right,controlled,1
CAP000425,S012,SE01,1,leaning_forward,CAL_009,right,controlled,1
CAP000436,S012,SE01,4,leaning_right,CAL_009,right,controlled,1
CAP000437,S012,SE01,4,leaning_right,CAL_009,right,controlled,1
CAP000438,S012,SE01,4,leaning_right,CAL_009,right,controlled,1
CAP000439,S012,SE01,4,leaning_right,CAL_009,right,controlled,1
CAP000440,S012,SE01,4,leaning_right,CAL_009,right,controlled,1
CAP000441,S012,SE01,5,slouching,CAL_009,right,controlled,1
CAP000442,S012,SE01,5,slouching,CAL_009,right,controlled,1
CAP000443,S012,SE01,5,slouching,CAL_009,right,controlled,1
CAP000444,S012,SE01,5,slouching,CAL_009,right,controlled,1
CAP000445,S012,SE01,5,slouching,CAL_009,right,controlled,1
CAP000453,S013,SE01,0,upright,CAL_009,right,controlled,2
CAP000454,S013,SE01,0,upright,CAL_009,right,controlled,2
CAP000455,S013,SE01,0,upright,CAL_009,right,controlled,2
CAP000456,S013,SE01,0,upright,CAL_009,right,controlled,2
CAP000457,S013,SE01,0,upright,CAL_009,right,controlled,2
CAP000458,S013,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000459,S013,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000460,S013,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000461,S013,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000462,S013,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000463,S013,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000464,S013,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000465,S013,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000466,S013,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000467,S013,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000468,S013,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000469,S013,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000470,S013,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000471,S013,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000472,S013,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000473,S013,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000474,S013,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000475,S013,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000476,S013,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000477,S013,SE01,5,slouching,CAL_009,right,controlled,2
CAP000478,S013,SE01,5,slouching,CAL_009,right,controlled,2
CAP000479,S013,SE01,5,slouching,CAL_009,right,controlled,2
CAP000480,S013,SE01,5,slouching,CAL_009,right,controlled,2
CAP000481,S013,SE01,5,slouching,CAL_009,right,controlled,2
CAP000488,S014,SE01,0,upright,CAL_009,right,controlled,3
CAP000489,S014,SE01,0,upright,CAL_009,right,controlled,3
CAP000490,S014,SE01,0,upright,CAL_009,right,controlled,3
CAP000491,S014,SE01,0,upright,CAL_009,right,controlled,3
CAP000492,S014,SE01,0,upright,CAL_009,right,controlled,3
CAP000493,S014,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000494,S014,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000495,S014,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000496,S014,SE01,1,leaning_forward,CAL_009,right,controlled,3
CAP000502,S014,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000503,S014,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000504,S014,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000505,S014,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000506,S014,SE01,3,leaning_left,CAL_009,right,controlled,3
CAP000507,S014,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000508,S014,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000509,S014,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000510,S014,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000511,S014,SE01,5,slouching,CAL_009,right,controlled,3
CAP000512,S014,SE01,5,slouching,CAL_009,right,controlled,3
CAP000513,S014,SE01,5,slouching,CAL_009,right,controlled,3
CAP000528,S015,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000529,S015,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000530,S015,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000531,S015,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000532,S015,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000545,S015,SE01,4,leaning_right,CAL_009,right,controlled,4
CAP000546,S015,SE01,4,leaning_right,CAL_009,right,controlled,4
CAP000547,S015,SE01,4,leaning_right,CAL_009,right,controlled,4
CAP000583,S016,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000585,S016,SE01,4,leaning_right,CAL_009,right,controlled,3
CAP000597,S017,SE01,0,upright,CAL_009,right,controlled,4
CAP000598,S017,SE01,0,upright,CAL_009,right,controlled,4
CAP000599,S017,SE01,0,upright,CAL_009,right,controlled,4
CAP000600,S017,SE01,0,upright,CAL_009,right,controlled,4
CAP000601,S017,SE01,0,upright,CAL_009,right,controlled,4
CAP000603,S017,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000604,S017,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000605,S017,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000606,S017,SE01,1,leaning_forward,CAL_009,right,controlled,4
CAP000607,S017,SE01,2,leaning_backward,CAL_009,right,controlled,4
CAP000608,S017,SE01,2,leaning_backward,CAL_009,right,controlled,4
CAP000609,S017,SE01,2,leaning_backward,CAL_009,right,controlled,4
CAP000610,S017,SE01,2,leaning_backward,CAL_009,right,controlled,4
CAP000611,S017,SE01,2,leaning_backward,CAL_009,right,controlled,4
CAP000612,S017,SE01,3,leaning_left,CAL_009,right,controlled,4
CAP000613,S017,SE01,3,leaning_left,CAL_009,right,controlled,4
CAP000614,S017,SE01,3,leaning_left,CAL_009,right,controlled,4
CAP000615,S017,SE01,3,leaning_left,CAL_009,right,controlled,4
CAP000616,S017,SE01,3,leaning_left,CAL_009,right,controlled,4
CAP000622,S017,SE01,5,slouching,CAL_009,right,controlled,4
CAP000623,S017,SE01,5,slouching,CAL_009,right,controlled,4
CAP000624,S017,SE01,5,slouching,CAL_009,right,controlled,4
CAP000625,S017,SE01,5,slouching,CAL_009,right,controlled,4
CAP000626,S017,SE01,5,slouching,CAL_009,right,controlled,4
CAP000633,S018,SE01,0,upright,CAL_009,right,controlled,2
CAP000634,S018,SE01,0,upright,CAL_009,right,controlled,2
CAP000635,S018,SE01,0,upright,CAL_009,right,controlled,2
CAP000636,S018,SE01,0,upright,CAL_009,right,controlled,2
CAP000637,S018,SE01,0,upright,CAL_009,right,controlled,2
CAP000638,S018,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000639,S018,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000640,S018,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000641,S018,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000642,S018,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000643,S018,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000644,S018,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000645,S018,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000646,S018,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000647,S018,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000648,S018,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000649,S018,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000650,S018,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000651,S018,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000652,S018,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000653,S018,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000654,S018,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000655,S018,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000656,S018,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000657,S018,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000658,S018,SE01,5,slouching,CAL_009,right,controlled,2
CAP000659,S018,SE01,5,slouching,CAL_009,right,controlled,2
CAP000660,S018,SE01,5,slouching,CAL_009,right,controlled,2
CAP000661,S018,SE01,5,slouching,CAL_009,right,controlled,2
CAP000662,S018,SE01,5,slouching,CAL_009,right,controlled,2
CAP000669,S019,SE01,0,upright,CAL_009,right,controlled,1
CAP000670,S019,SE01,0,upright,CAL_009,right,controlled,1
CAP000671,S019,SE01,0,upright,CAL_009,right,controlled,1
CAP000672,S019,SE01,0,upright,CAL_009,right,controlled,1
CAP000673,S019,SE01,0,upright,CAL_009,right,controlled,1
CAP000742,S021,SE01,0,upright,CAL_009,right,controlled,2
CAP000743,S021,SE01,0,upright,CAL_009,right,controlled,2
CAP000744,S021,SE01,0,upright,CAL_009,right,controlled,2
CAP000745,S021,SE01,0,upright,CAL_009,right,controlled,2
CAP000746,S021,SE01,0,upright,CAL_009,right,controlled,2
CAP000747,S021,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000748,S021,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000749,S021,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000750,S021,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000751,S021,SE01,1,leaning_forward,CAL_009,right,controlled,2
CAP000752,S021,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000753,S021,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000754,S021,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000755,S021,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000756,S021,SE01,2,leaning_backward,CAL_009,right,controlled,2
CAP000757,S021,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000758,S021,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000760,S021,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000761,S021,SE01,3,leaning_left,CAL_009,right,controlled,2
CAP000762,S021,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000763,S021,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000764,S021,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000765,S021,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000766,S021,SE01,4,leaning_right,CAL_009,right,controlled,2
CAP000767,S021,SE01,5,slouching,CAL_009,right,controlled,2
CAP000768,S021,SE01,5,slouching,CAL_009,right,controlled,2
CAP000769,S021,SE01,5,slouching,CAL_009,right,controlled,2
CAP000779,S022,SE01,0,upright,CAL_009,right,controlled,2
CAP000781,S022,SE01,0,upright,CAL_009,right,controlled,2
CAP000783,S022,SE01,0,upright,CAL_009,right,controlled,2
CAP000804,S022,SE01,5,slouching,CAL_009,right,controlled,2
CAP000805,S022,SE01,5,slouching,CAL_009,right,controlled,2
CAP000806,S022,SE01,5,slouching,CAL_009,right,controlled,2
CAP000807,S022,SE01,5,slouching,CAL_009,right,controlled,2
CAP000808,S022,SE01,5,slouching,CAL_009,right,controlled,2
CAP000852,S024,SE01,0,upright,CAL_011,right,controlled,4
CAP000853,S024,SE01,0,upright,CAL_011,right,controlled,4
CAP000854,S024,SE01,0,upright,CAL_011,right,controlled,4
CAP000855,S024,SE01,0,upright,CAL_011,right,controlled,4
CAP000856,S024,SE01,0,upright,CAL_011,right,controlled,4
CAP000857,S024,SE01,1,leaning_forward,CAL_011,right,controlled,4
CAP000858,S024,SE01,1,leaning_forward,CAL_011,right,controlled,4
CAP000859,S024,SE01,1,leaning_forward,CAL_011,right,controlled,4
CAP000860,S024,SE01,1,leaning_forward,CAL_011,right,controlled,4
CAP000861,S024,SE01,1,leaning_forward,CAL_011,right,controlled,4
CAP000862,S024,SE01,2,leaning_backward,CAL_011,right,controlled,4
CAP000863,S024,SE01,2,leaning_backward,CAL_011,right,controlled,4
CAP000864,S024,SE01,2,leaning_backward,CAL_011,right,controlled,4
CAP000865,S024,SE01,2,leaning_backward,CAL_011,right,controlled,4
CAP000867,S024,SE01,3,leaning_left,CAL_011,right,controlled,4
CAP000868,S024,SE01,3,leaning_left,CAL_011,right,controlled,4
CAP000869,S024,SE01,3,leaning_left,CAL_011,right,controlled,4
CAP000870,S024,SE01,4,leaning_right,CAL_011,right,controlled,4
CAP000871,S024,SE01,4,leaning_right,CAL_011,right,controlled,4
CAP000872,S024,SE01,4,leaning_right,CAL_011,right,controlled,4
CAP000873,S024,SE01,4,leaning_right,CAL_011,right,controlled,4
CAP000874,S024,SE01,4,leaning_right,CAL_011,right,controlled,4
CAP000875,S024,SE01,5,slouching,CAL_011,right,controlled,4
CAP000876,S024,SE01,5,slouching,CAL_011,right,controlled,4
CAP000877,S024,SE01,5,slouching,CAL_011,right,controlled,4
CAP000878,S024,SE01,5,slouching,CAL_011,right,controlled,4
CAP000879,S024,SE01,5,slouching,CAL_011,right,controlled,4
