capture_id,subject_id,session_id,calibration_id,label,repetition,subset,lateral_side,class_id,decision,valid_3d_joints_core,valid_3d_joints_total,core_reproj_error_640p_px,shoulder_width_m,torso_length_m,depth_z_m,reason,rig_qc_status,rig_reproj_err_px
CAP000023,S001,SE01,CAL_001,leaning_backward,3,pilot,left,0,INCLUDE_3D_FULL,12,12,37.75,0.209,0.435,0.859,"Full 3D: 12/17 core joints, core_err=37.8px, Z=0.86m",WARNING_RECHECK,47.67
CAP000024,S001,SE01,CAL_001,leaning_backward,4,pilot,left,0,INCLUDE_3D_FULL,13,14,35.36,0.215,0.434,0.848,"Full 3D: 13/17 core joints, core_err=35.4px, Z=0.85m",WARNING_RECHECK,47.67
CAP000025,S001,SE01,CAL_001,leaning_backward,5,pilot,left,0,INCLUDE_3D_FULL,12,12,36.29,0.212,0.432,0.861,"Full 3D: 12/17 core joints, core_err=36.3px, Z=0.86m",WARNING_RECHECK,47.67
CAP000026,S001,SE01,CAL_001,leaning_left,1,pilot,left,2,INCLUDE_3D_FULL,9,13,30.25,0.203,0.423,0.865,"Full 3D: 9/17 core joints, core_err=30.2px, Z=0.87m",WARNING_RECHECK,47.67
CAP000027,S001,SE01,CAL_001,leaning_left,2,pilot,left,2,INCLUDE_3D_FULL,10,14,33.61,0.198,0.415,0.879,"Full 3D: 10/17 core joints, core_err=33.6px, Z=0.88m",WARNING_RECHECK,47.67
CAP000028,S001,SE01,CAL_001,leaning_left,3,pilot,left,2,INCLUDE_3D_FULL,10,14,28.05,0.21,0.42,0.875,"Full 3D: 10/17 core joints, core_err=28.0px, Z=0.87m",WARNING_RECHECK,47.67
CAP000029,S001,SE01,CAL_001,leaning_left,4,pilot,left,2,INCLUDE_3D_FULL,10,14,29.52,0.211,0.422,0.874,"Full 3D: 10/17 core joints, core_err=29.5px, Z=0.87m",WARNING_RECHECK,47.67
CAP000030,S001,SE01,CAL_001,leaning_left,5,pilot,left,2,INCLUDE_3D_FULL,10,14,26.8,0.199,0.414,0.864,"Full 3D: 10/17 core joints, core_err=26.8px, Z=0.86m",WARNING_RECHECK,47.67
CAP000031,S001,SE01,CAL_001,leaning_right,1,pilot,left,3,INCLUDE_3D_FULL,12,12,18.89,0.198,0.399,0.783,"Full 3D: 12/17 core joints, core_err=18.9px, Z=0.78m",WARNING_RECHECK,47.67
CAP000032,S001,SE01,CAL_001,leaning_right,2,pilot,left,3,INCLUDE_3D_FULL,12,12,20.3,0.196,0.402,0.781,"Full 3D: 12/17 core joints, core_err=20.3px, Z=0.78m",WARNING_RECHECK,47.67
CAP000033,S001,SE01,CAL_001,leaning_right,3,pilot,left,3,INCLUDE_3D_FULL,12,12,21.57,0.191,0.397,0.783,"Full 3D: 12/17 core joints, core_err=21.6px, Z=0.78m",WARNING_RECHECK,47.67
CAP000034,S001,SE01,CAL_001,leaning_right,4,pilot,left,3,INCLUDE_3D_FULL,11,11,22.26,0.227,,0.789,"Full 3D: 11/17 core joints, core_err=22.3px, Z=0.79m",WARNING_RECHECK,47.67
CAP000035,S001,SE01,CAL_001,leaning_right,5,pilot,left,3,INCLUDE_3D_FULL,11,11,21.04,0.228,,0.781,"Full 3D: 11/17 core joints, core_err=21.0px, Z=0.78m",WARNING_RECHECK,47.67
CAP000036,S001,SE01,CAL_001,slouching,1,pilot,left,4,INCLUDE_3D_FULL,12,12,29.73,0.211,0.406,0.829,"Full 3D: 12/17 core joints, core_err=29.7px, Z=0.83m",WARNING_RECHECK,47.67
CAP000037,S001,SE01,CAL_001,slouching,2,pilot,left,4,INCLUDE_3D_FULL,14,14,30.18,0.207,0.394,0.841,"Full 3D: 14/17 core joints, core_err=30.2px, Z=0.84m",WARNING_RECHECK,47.67
CAP000038,S001,SE01,CAL_001,slouching,3,pilot,left,4,INCLUDE_3D_FULL,12,12,25.84,0.204,0.393,0.837,"Full 3D: 12/17 core joints, core_err=25.8px, Z=0.84m",WARNING_RECHECK,47.67
CAP000039,S001,SE01,CAL_001,slouching,4,pilot,left,4,INCLUDE_3D_FULL,14,14,22.29,0.205,0.361,0.833,"Full 3D: 14/17 core joints, core_err=22.3px, Z=0.83m",WARNING_RECHECK,47.67
CAP000040,S001,SE01,CAL_001,slouching,5,pilot,left,4,INCLUDE_3D_FULL,14,14,31.26,0.19,0.398,0.835,"Full 3D: 14/17 core joints, core_err=31.3px, Z=0.84m",WARNING_RECHECK,47.67
CAP000048,S002,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,12,12,29.68,0.226,0.476,0.818,"Full 3D: 12/17 core joints, core_err=29.7px, Z=0.82m",WARNING_RECHECK,47.67
CAP000049,S002,SE01,CAL_001,upright,2,pilot,left,5,INCLUDE_3D_FULL,12,12,28.53,0.229,0.476,0.823,"Full 3D: 12/17 core joints, core_err=28.5px, Z=0.82m",WARNING_RECHECK,47.67
CAP000050,S002,SE01,CAL_001,upright,3,pilot,left,5,INCLUDE_3D_FULL,12,12,28.92,0.228,0.474,0.822,"Full 3D: 12/17 core joints, core_err=28.9px, Z=0.82m",WARNING_RECHECK,47.67
CAP000051,S002,SE01,CAL_001,upright,4,pilot,left,5,INCLUDE_3D_FULL,12,12,27.38,0.224,0.481,0.824,"Full 3D: 12/17 core joints, core_err=27.4px, Z=0.82m",WARNING_RECHECK,47.67
CAP000052,S002,SE01,CAL_001,upright,5,pilot,left,5,INCLUDE_3D_FULL,12,12,28.05,0.226,0.479,0.82,"Full 3D: 12/17 core joints, core_err=28.1px, Z=0.82m",WARNING_RECHECK,47.67
CAP000053,S002,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,12,12,26.3,0.242,0.487,0.791,"Full 3D: 12/17 core joints, core_err=26.3px, Z=0.79m",WARNING_RECHECK,47.67
CAP000054,S002,SE01,CAL_001,leaning_forward,2,pilot,left,1,INCLUDE_3D_FULL,12,12,29.1,0.253,0.476,0.791,"Full 3D: 12/17 core joints, core_err=29.1px, Z=0.79m",WARNING_RECHECK,47.67
CAP000055,S002,SE01,CAL_001,leaning_forward,3,pilot,left,1,INCLUDE_3D_FULL,12,12,28.07,0.258,0.475,0.792,"Full 3D: 12/17 core joints, core_err=28.1px, Z=0.79m",WARNING_RECHECK,47.67
CAP000056,S002,SE01,CAL_001,leaning_forward,4,pilot,left,1,INCLUDE_3D_FULL,12,12,28.76,0.255,0.476,0.791,"Full 3D: 12/17 core joints, core_err=28.8px, Z=0.79m",WARNING_RECHECK,47.67
CAP000057,S002,SE01,CAL_001,leaning_forward,5,pilot,left,1,INCLUDE_3D_FULL,12,12,28.92,0.256,0.478,0.792,"Full 3D: 12/17 core joints, core_err=28.9px, Z=0.79m",WARNING_RECHECK,47.67
CAP000058,S002,SE01,CAL_001,leaning_backward,1,pilot,left,0,INCLUDE_3D_FULL,12,12,24.15,0.23,0.431,0.836,"Full 3D: 12/17 core joints, core_err=24.1px, Z=0.84m",WARNING_RECHECK,47.67
CAP000059,S002,SE01,CAL_001,leaning_backward,2,pilot,left,0,INCLUDE_3D_FULL,12,12,24.71,0.227,0.422,0.84,"Full 3D: 12/17 core joints, core_err=24.7px, Z=0.84m",WARNING_RECHECK,47.67
CAP000060,S002,SE01,CAL_001,leaning_backward,3,pilot,left,0,INCLUDE_3D_FULL,12,12,24.39,0.229,0.423,0.84,"Full 3D: 12/17 core joints, core_err=24.4px, Z=0.84m",WARNING_RECHECK,47.67
CAP000061,S002,SE01,CAL_001,leaning_backward,4,pilot,left,0,INCLUDE_3D_FULL,12,12,24.46,0.229,0.423,0.841,"Full 3D: 12/17 core joints, core_err=24.5px, Z=0.84m",WARNING_RECHECK,47.67
CAP000062,S002,SE01,CAL_001,leaning_backward,5,pilot,left,0,INCLUDE_3D_FULL,12,12,24.44,0.23,0.432,0.842,"Full 3D: 12/17 core joints, core_err=24.4px, Z=0.84m",WARNING_RECHECK,47.67
CAP000063,S002,SE01,CAL_001,leaning_left,1,pilot,left,2,INCLUDE_3D_FULL,10,12,26.94,0.246,0.472,0.857,"Full 3D: 10/17 core joints, core_err=26.9px, Z=0.86m",WARNING_RECHECK,47.67
CAP000064,S002,SE01,CAL_001,leaning_left,2,pilot,left,2,INCLUDE_3D_FULL,10,12,26.99,0.244,0.457,0.861,"Full 3D: 10/17 core joints, core_err=27.0px, Z=0.86m",WARNING_RECHECK,47.67
CAP000065,S002,SE01,CAL_001,leaning_left,3,pilot,left,2,INCLUDE_3D_FULL,11,12,30.23,0.241,0.455,0.857,"Full 3D: 11/17 core joints, core_err=30.2px, Z=0.86m",WARNING_RECHECK,47.67
CAP000066,S002,SE01,CAL_001,leaning_left,4,pilot,left,2,INCLUDE_3D_FULL,10,12,27.44,0.242,0.456,0.86,"Full 3D: 10/17 core joints, core_err=27.4px, Z=0.86m",WARNING_RECHECK,47.67
CAP000067,S002,SE01,CAL_001,leaning_left,5,pilot,left,2,INCLUDE_3D_FULL,10,12,27.35,0.241,0.453,0.859,"Full 3D: 10/17 core joints, core_err=27.3px, Z=0.86m",WARNING_RECHECK,47.67
CAP000068,S002,SE01,CAL_001,leaning_right,1,pilot,left,3,INCLUDE_3D_FULL,12,12,18.1,0.223,0.433,0.782,"Full 3D: 12/17 core joints, core_err=18.1px, Z=0.78m",WARNING_RECHECK,47.67
CAP000069,S002,SE01,CAL_001,leaning_right,2,pilot,left,3,INCLUDE_3D_FULL,12,12,19.05,0.218,0.43,0.78,"Full 3D: 12/17 core joints, core_err=19.0px, Z=0.78m",WARNING_RECHECK,47.67
CAP000070,S002,SE01,CAL_001,leaning_right,3,pilot,left,3,INCLUDE_3D_FULL,12,12,18.52,0.224,0.431,0.784,"Full 3D: 12/17 core joints, core_err=18.5px, Z=0.78m",WARNING_RECHECK,47.67
CAP000071,S002,SE01,CAL_001,leaning_right,4,pilot,left,3,INCLUDE_3D_FULL,12,12,18.6,0.223,0.432,0.783,"Full 3D: 12/17 core joints, core_err=18.6px, Z=0.78m",WARNING_RECHECK,47.67
CAP000072,S002,SE01,CAL_001,leaning_right,5,pilot,left,3,INCLUDE_3D_FULL,12,12,18.02,0.222,0.429,0.783,"Full 3D: 12/17 core joints, core_err=18.0px, Z=0.78m",WARNING_RECHECK,47.67
CAP000073,S002,SE01,CAL_001,slouching,5,pilot,left,4,INCLUDE_3D_FULL,12,12,23.37,0.238,0.41,0.822,"Full 3D: 12/17 core joints, core_err=23.4px, Z=0.82m",WARNING_RECHECK,47.67
CAP000074,S002,SE01,CAL_001,slouching,1,pilot,left,4,INCLUDE_3D_FULL,12,12,23.24,0.24,0.41,0.823,"Full 3D: 12/17 core joints, core_err=23.2px, Z=0.82m",WARNING_RECHECK,47.67
CAP000075,S002,SE01,CAL_001,slouching,2,pilot,left,4,INCLUDE_3D_FULL,12,12,23.08,0.239,0.413,0.824,"Full 3D: 12/17 core joints, core_err=23.1px, Z=0.82m",WARNING_RECHECK,47.67
CAP000076,S002,SE01,CAL_001,slouching,3,pilot,left,4,INCLUDE_3D_FULL,12,12,23.88,0.234,0.408,0.819,"Full 3D: 12/17 core joints, core_err=23.9px, Z=0.82m",WARNING_RECHECK,47.67
CAP000077,S002,SE01,CAL_001,slouching,4,pilot,left,4,INCLUDE_3D_FULL,12,12,23.23,0.24,0.41,0.823,"Full 3D: 12/17 core joints, core_err=23.2px, Z=0.82m",WARNING_RECHECK,47.67
CAP000083,S003,SE01,CAL_004,upright,1,pilot,left,5,INCLUDE_3D_WITH_MASKING,14,14,29.35,0.147,0.556,1.446,Partial 3D: 14/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000084,S003,SE01,CAL_004,upright,2,pilot,left,5,INCLUDE_3D_WITH_MASKING,14,14,29.34,0.146,0.554,1.445,Partial 3D: 14/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000085,S003,SE01,CAL_004,upright,3,pilot,left,5,INCLUDE_3D_WITH_MASKING,14,14,29.23,0.147,0.553,1.444,Partial 3D: 14/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000086,S003,SE01,CAL_004,upright,4,pilot,left,5,INCLUDE_3D_WITH_MASKING,14,14,29.7,0.149,0.556,1.444,Partial 3D: 14/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000087,S003,SE01,CAL_004,upright,5,pilot,left,5,INCLUDE_3D_WITH_MASKING,14,14,29.39,0.148,0.559,1.446,Partial 3D: 14/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000088,S003,SE01,CAL_004,leaning_forward,1,pilot,left,1,INCLUDE_3D_WITH_MASKING,13,14,38.72,0.114,0.627,1.286,Partial 3D: 13/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000089,S003,SE01,CAL_004,leaning_forward,2,pilot,left,1,INCLUDE_3D_WITH_MASKING,13,14,38.05,0.113,0.633,1.289,Partial 3D: 13/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000090,S003,SE01,CAL_004,leaning_forward,3,pilot,left,1,INCLUDE_3D_WITH_MASKING,12,13,36.62,0.115,0.633,1.284,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000091,S003,SE01,CAL_004,leaning_forward,4,pilot,left,1,INCLUDE_3D_WITH_MASKING,12,14,36.26,0.116,0.627,1.285,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000092,S003,SE01,CAL_004,leaning_forward,5,pilot,left,1,INCLUDE_3D_WITH_MASKING,12,14,36.21,0.115,0.628,1.286,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000093,S003,SE01,CAL_004,leaning_backward,1,pilot,left,0,INCLUDE_3D_FULL,12,14,25.58,0.154,0.529,1.473,"Full 3D: 12/17 core joints, core_err=25.6px, Z=1.47m",WARNING_RECHECK,29.06
CAP000094,S003,SE01,CAL_004,leaning_backward,2,pilot,left,0,INCLUDE_3D_FULL,13,15,27.94,0.172,0.526,1.453,"Full 3D: 13/17 core joints, core_err=27.9px, Z=1.45m",WARNING_RECHECK,29.06
CAP000095,S003,SE01,CAL_004,leaning_backward,3,pilot,left,0,INCLUDE_3D_FULL,12,14,25.21,0.166,0.523,1.48,"Full 3D: 12/17 core joints, core_err=25.2px, Z=1.48m",WARNING_RECHECK,29.06
CAP000096,S003,SE01,CAL_004,leaning_backward,4,pilot,left,0,INCLUDE_3D_FULL,12,14,25.25,0.162,0.531,1.481,"Full 3D: 12/17 core joints, core_err=25.2px, Z=1.48m",WARNING_RECHECK,29.06
CAP000097,S003,SE01,CAL_004,leaning_backward,5,pilot,left,0,INCLUDE_3D_FULL,12,14,25.3,0.16,0.531,1.483,"Full 3D: 12/17 core joints, core_err=25.3px, Z=1.48m",WARNING_RECHECK,29.06
CAP000098,S003,SE01,CAL_004,leaning_left,1,pilot,left,2,INCLUDE_3D_WITH_MASKING,12,12,30.57,0.126,0.634,1.445,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000099,S003,SE01,CAL_004,leaning_left,2,pilot,left,2,INCLUDE_3D_WITH_MASKING,13,13,33.4,0.127,0.624,1.422,Partial 3D: 13/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000100,S003,SE01,CAL_004,leaning_left,3,pilot,left,2,INCLUDE_3D_WITH_MASKING,13,13,33.59,0.128,0.622,1.419,Partial 3D: 13/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000101,S003,SE01,CAL_004,leaning_left,4,pilot,left,2,INCLUDE_3D_WITH_MASKING,12,12,30.94,0.126,0.628,1.443,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000102,S003,SE01,CAL_004,leaning_left,5,pilot,left,2,INCLUDE_3D_WITH_MASKING,12,12,31.09,0.127,0.623,1.444,Partial 3D: 12/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000103,S003,SE01,CAL_004,leaning_right,1,pilot,left,3,INCLUDE_3D_FULL,14,14,31.0,0.169,0.515,1.44,"Full 3D: 14/17 core joints, core_err=31.0px, Z=1.44m",WARNING_RECHECK,29.06
CAP000104,S003,SE01,CAL_004,leaning_right,2,pilot,left,3,INCLUDE_3D_FULL,14,14,30.68,0.172,0.511,1.442,"Full 3D: 14/17 core joints, core_err=30.7px, Z=1.44m",WARNING_RECHECK,29.06
CAP000105,S003,SE01,CAL_004,leaning_right,3,pilot,left,3,INCLUDE_3D_FULL,14,14,30.34,0.161,0.516,1.447,"Full 3D: 14/17 core joints, core_err=30.3px, Z=1.45m",WARNING_RECHECK,29.06
CAP000106,S003,SE01,CAL_004,leaning_right,4,pilot,left,3,INCLUDE_3D_FULL,14,14,30.23,0.175,0.509,1.442,"Full 3D: 14/17 core joints, core_err=30.2px, Z=1.44m",WARNING_RECHECK,29.06
CAP000107,S003,SE01,CAL_004,leaning_right,5,pilot,left,3,INCLUDE_3D_FULL,14,14,30.82,0.186,0.507,1.439,"Full 3D: 14/17 core joints, core_err=30.8px, Z=1.44m",WARNING_RECHECK,29.06
CAP000108,S003,SE01,CAL_004,slouching,1,pilot,left,4,INCLUDE_3D_WITH_MASKING,9,12,39.67,0.112,,1.113,Partial 3D: 9/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000109,S003,SE01,CAL_004,slouching,2,pilot,left,4,INCLUDE_3D_WITH_MASKING,9,12,39.54,0.111,,1.117,Partial 3D: 9/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000110,S003,SE01,CAL_004,slouching,3,pilot,left,4,INCLUDE_3D_WITH_MASKING,10,12,41.95,0.112,,1.16,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000111,S003,SE01,CAL_004,slouching,4,pilot,left,4,INCLUDE_3D_WITH_MASKING,10,12,41.81,0.112,,1.161,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000112,S003,SE01,CAL_004,slouching,5,pilot,left,4,INCLUDE_3D_WITH_MASKING,9,12,39.76,0.11,,1.117,Partial 3D: 9/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000122,S004,SE01,CAL_004,upright,1,pilot,left,5,INCLUDE_3D_WITH_MASKING,11,14,31.46,0.141,0.575,1.152,Partial 3D: 11/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000123,S004,SE01,CAL_004,upright,2,pilot,left,5,INCLUDE_3D_WITH_MASKING,11,14,32.91,0.144,0.571,1.151,Partial 3D: 11/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000124,S004,SE01,CAL_004,upright,3,pilot,left,5,INCLUDE_3D_WITH_MASKING,11,14,33.13,0.141,0.581,1.155,Partial 3D: 11/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000125,S004,SE01,CAL_004,upright,4,pilot,left,5,INCLUDE_3D_WITH_MASKING,11,14,31.74,0.139,0.573,1.154,Partial 3D: 11/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000126,S004,SE01,CAL_004,upright,5,pilot,left,5,INCLUDE_3D_WITH_MASKING,11,14,32.43,0.139,0.58,1.154,Partial 3D: 11/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000127,S004,SE01,CAL_004,leaning_forward,1,pilot,left,1,INCLUDE_3D_WITH_MASKING,10,14,44.66,0.135,0.626,1.032,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000128,S004,SE01,CAL_004,leaning_forward,2,pilot,left,1,INCLUDE_3D_WITH_MASKING,10,14,44.13,0.136,0.636,1.038,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000129,S004,SE01,CAL_004,leaning_forward,3,pilot,left,1,INCLUDE_3D_WITH_MASKING,10,14,43.74,0.135,0.626,1.037,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000130,S004,SE01,CAL_004,leaning_forward,4,pilot,left,1,INCLUDE_3D_WITH_MASKING,10,14,44.2,0.136,0.63,1.038,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000131,S004,SE01,CAL_004,leaning_forward,5,pilot,left,1,INCLUDE_3D_WITH_MASKING,10,14,43.85,0.137,0.634,1.037,Partial 3D: 10/17 core joints - usable with NaN masking,WARNING_RECHECK,29.06
CAP000132,S004,SE01,CAL_004,leaning_backward,1,pilot,left,0,INCLUDE_3D_FULL,12,14,27.11,0.177,0.565,1.325,"Full 3D: 12/17 core joints, core_err=27.1px, Z=1.32m",WARNING_RECHECK,29.06
CAP000133,S004,SE01,CAL_004,leaning_backward,2,pilot,left,0,INCLUDE_3D_FULL,12,14,26.37,0.176,0.566,1.33,"Full 3D: 12/17 core joints, core_err=26.4px, Z=1.33m",WARNING_RECHECK,29.06
CAP000134,S004,SE01,CAL_004,leaning_backward,3,pilot,left,0,INCLUDE_3D_FULL,12,14,26.55,0.184,0.57,1.329,"Full 3D: 12/17 core joints, core_err=26.6px, Z=1.33m",WARNING_RECHECK,29.06
CAP000135,S004,SE01,CAL_004,leaning_backward,4,pilot,left,0,INCLUDE_3D_FULL,12,14,26.71,0.186,0.565,1.332,"Full 3D: 12/17 core joints, core_err=26.7px, Z=1.33m",WARNING_RECHECK,29.06
CAP000136,S004,SE01,CAL_004,leaning_backward,5,pilot,left,0,INCLUDE_3D_FULL,12,14,26.11,0.179,0.569,1.333,"Full 3D: 12/17 core joints, core_err=26.1px, Z=1.33m",WARNING_RECHECK,29.06
CAP000137,S004,SE01,CAL_004,leaning_left,1,pilot,left,2,INCLUDE_3D_FULL,10,13,32.31,0.201,0.536,1.184,"Full 3D: 10/17 core joints, core_err=32.3px, Z=1.18m",WARNING_RECHECK,29.06
CAP000138,S004,SE01,CAL_004,leaning_left,2,pilot,left,2,INCLUDE_3D_FULL,10,13,33.47,0.203,0.538,1.188,"Full 3D: 10/17 core joints, core_err=33.5px, Z=1.19m",WARNING_RECHECK,29.06
CAP000139,S004,SE01,CAL_004,leaning_left,3,pilot,left,2,INCLUDE_3D_FULL,10,13,35.26,0.171,0.569,1.181,"Full 3D: 10/17 core joints, core_err=35.3px, Z=1.18m",WARNING_RECHECK,29.06
CAP000140,S004,SE01,CAL_004,leaning_left,4,pilot,left,2,INCLUDE_3D_FULL,9,13,32.5,0.181,0.55,1.161,"Full 3D: 9/17 core joints, core_err=32.5px, Z=1.16m",WARNING_RECHECK,29.06
