capture_id,subject_id,label,class_id,calibration_id,lateral_side,subset
CAP000441,S012,slouching,4,CAL_009,right,controlled
CAP000442,S012,slouching,4,CAL_009,right,controlled
CAP000443,S012,slouching,4,CAL_009,right,controlled
CAP000444,S012,slouching,4,CAL_009,right,controlled
CAP000445,S012,slouching,4,CAL_009,right,controlled
CAP000453,S013,upright,5,CAL_009,right,controlled
CAP000454,S013,upright,5,CAL_009,right,controlled
CAP000455,S013,upright,5,CAL_009,right,controlled
CAP000456,S013,upright,5,CAL_009,right,controlled
CAP000457,S013,upright,5,CAL_009,right,controlled
CAP000458,S013,leaning_forward,1,CAL_009,right,controlled
CAP000459,S013,leaning_forward,1,CAL_009,right,controlled
CAP000460,S013,leaning_forward,1,CAL_009,right,controlled
CAP000461,S013,leaning_forward,1,CAL_009,right,controlled
CAP000462,S013,leaning_forward,1,CAL_009,right,controlled
CAP000463,S013,leaning_backward,0,CAL_009,right,controlled
CAP000464,S013,leaning_backward,0,CAL_009,right,controlled
CAP000465,S013,leaning_backward,0,CAL_009,right,controlled
CAP000466,S013,leaning_backward,0,CAL_009,right,controlled
CAP000467,S013,leaning_left,2,CAL_009,right,controlled
CAP000468,S013,leaning_left,2,CAL_009,right,controlled
CAP000469,S013,leaning_left,2,CAL_009,right,controlled
CAP000470,S013,leaning_left,2,CAL_009,right,controlled
CAP000471,S013,leaning_left,2,CAL_009,right,controlled
CAP000472,S013,leaning_right,3,CAL_009,right,controlled
CAP000473,S013,leaning_right,3,CAL_009,right,controlled
CAP000474,S013,leaning_right,3,CAL_009,right,controlled
CAP000475,S013,leaning_right,3,CAL_009,right,controlled
CAP000476,S013,leaning_right,3,CAL_009,right,controlled
CAP000477,S013,slouching,4,CAL_009,right,controlled
CAP000478,S013,slouching,4,CAL_009,right,controlled
CAP000479,S013,slouching,4,CAL_009,right,controlled
CAP000480,S013,slouching,4,CAL_009,right,controlled
CAP000481,S013,slouching,4,CAL_009,right,controlled
CAP000488,S014,upright,5,CAL_009,right,controlled
CAP000489,S014,upright,5,CAL_009,right,controlled
CAP000490,S014,upright,5,CAL_009,right,controlled
CAP000491,S014,upright,5,CAL_009,right,controlled
CAP000492,S014,upright,5,CAL_009,right,controlled
CAP000493,S014,leaning_forward,1,CAL_009,right,controlled
CAP000494,S014,leaning_forward,1,CAL_009,right,controlled
CAP000495,S014,leaning_forward,1,CAL_009,right,controlled
CAP000496,S014,leaning_forward,1,CAL_009,right,controlled
CAP000502,S014,leaning_left,2,CAL_009,right,controlled
CAP000503,S014,leaning_left,2,CAL_009,right,controlled
CAP000504,S014,leaning_left,2,CAL_009,right,controlled
CAP000505,S014,leaning_left,2,CAL_009,right,controlled
CAP000506,S014,leaning_left,2,CAL_009,right,controlled
CAP000507,S014,leaning_right,3,CAL_009,right,controlled
CAP000508,S014,leaning_right,3,CAL_009,right,controlled
CAP000509,S014,leaning_right,3,CAL_009,right,controlled
CAP000510,S014,leaning_right,3,CAL_009,right,controlled
CAP000511,S014,slouching,4,CAL_009,right,controlled
CAP000512,S014,slouching,4,CAL_009,right,controlled
CAP000513,S014,slouching,4,CAL_009,right,controlled
CAP000528,S015,leaning_forward,1,CAL_009,right,controlled
CAP000529,S015,leaning_forward,1,CAL_009,right,controlled
CAP000530,S015,leaning_forward,1,CAL_009,right,controlled
CAP000531,S015,leaning_forward,1,CAL_009,right,controlled
CAP000532,S015,leaning_forward,1,CAL_009,right,controlled
CAP000545,S015,leaning_right,3,CAL_009,right,controlled
CAP000546,S015,leaning_right,3,CAL_009,right,controlled
CAP000547,S015,leaning_right,3,CAL_009,right,controlled
CAP000583,S016,leaning_right,3,CAL_009,right,controlled
CAP000585,S016,leaning_right,3,CAL_009,right,controlled
CAP000597,S017,upright,5,CAL_009,right,controlled
CAP000598,S017,upright,5,CAL_009,right,controlled
CAP000599,S017,upright,5,CAL_009,right,controlled
CAP000600,S017,upright,5,CAL_009,right,controlled
CAP000601,S017,upright,5,CAL_009,right,controlled
CAP000603,S017,leaning_forward,1,CAL_009,right,controlled
CAP000604,S017,leaning_forward,1,CAL_009,right,controlled
CAP000605,S017,leaning_forward,1,CAL_009,right,controlled
CAP000606,S017,leaning_forward,1,CAL_009,right,controlled
CAP000607,S017,leaning_backward,0,CAL_009,right,controlled
CAP000608,S017,leaning_backward,0,CAL_009,right,controlled
CAP000609,S017,leaning_backward,0,CAL_009,right,controlled
CAP000610,S017,leaning_backward,0,CAL_009,right,controlled
CAP000611,S017,leaning_backward,0,CAL_009,right,controlled
CAP000612,S017,leaning_left,2,CAL_009,right,controlled
CAP000613,S017,leaning_left,2,CAL_009,right,controlled
CAP000614,S017,leaning_left,2,CAL_009,right,controlled
CAP000615,S017,leaning_left,2,CAL_009,right,controlled
CAP000616,S017,leaning_left,2,CAL_009,right,controlled
CAP000622,S017,slouching,4,CAL_009,right,controlled
CAP000623,S017,slouching,4,CAL_009,right,controlled
CAP000624,S017,slouching,4,CAL_009,right,controlled
CAP000625,S017,slouching,4,CAL_009,right,controlled
CAP000626,S017,slouching,4,CAL_009,right,controlled
CAP000633,S018,upright,5,CAL_009,right,controlled
CAP000634,S018,upright,5,CAL_009,right,controlled
CAP000635,S018,upright,5,CAL_009,right,controlled
CAP000636,S018,upright,5,CAL_009,right,controlled
CAP000637,S018,upright,5,CAL_009,right,controlled
CAP000638,S018,leaning_forward,1,CAL_009,right,controlled
CAP000639,S018,leaning_forward,1,CAL_009,right,controlled
CAP000640,S018,leaning_forward,1,CAL_009,right,controlled
CAP000641,S018,leaning_forward,1,CAL_009,right,controlled
CAP000642,S018,leaning_forward,1,CAL_009,right,controlled
CAP000643,S018,leaning_backward,0,CAL_009,right,controlled
CAP000644,S018,leaning_backward,0,CAL_009,right,controlled
CAP000645,S018,leaning_backward,0,CAL_009,right,controlled
CAP000646,S018,leaning_backward,0,CAL_009,right,controlled
CAP000647,S018,leaning_backward,0,CAL_009,right,controlled
CAP000648,S018,leaning_left,2,CAL_009,right,controlled
CAP000649,S018,leaning_left,2,CAL_009,right,controlled
CAP000650,S018,leaning_left,2,CAL_009,right,controlled
CAP000651,S018,leaning_left,2,CAL_009,right,controlled
CAP000652,S018,leaning_left,2,CAL_009,right,controlled
CAP000653,S018,leaning_right,3,CAL_009,right,controlled
CAP000654,S018,leaning_right,3,CAL_009,right,controlled
CAP000655,S018,leaning_right,3,CAL_009,right,controlled
CAP000656,S018,leaning_right,3,CAL_009,right,controlled
CAP000657,S018,leaning_right,3,CAL_009,right,controlled
CAP000658,S018,slouching,4,CAL_009,right,controlled
CAP000659,S018,slouching,4,CAL_009,right,controlled
CAP000660,S018,slouching,4,CAL_009,right,controlled
CAP000661,S018,slouching,4,CAL_009,right,controlled
CAP000662,S018,slouching,4,CAL_009,right,controlled
CAP000669,S019,upright,5,CAL_009,right,controlled
CAP000670,S019,upright,5,CAL_009,right,controlled
CAP000671,S019,upright,5,CAL_009,right,controlled
CAP000672,S019,upright,5,CAL_009,right,controlled
CAP000673,S019,upright,5,CAL_009,right,controlled
CAP000742,S021,upright,5,CAL_009,right,controlled
CAP000743,S021,upright,5,CAL_009,right,controlled
CAP000744,S021,upright,5,CAL_009,right,controlled
CAP000745,S021,upright,5,CAL_009,right,controlled
CAP000746,S021,upright,5,CAL_009,right,controlled
CAP000747,S021,leaning_forward,1,CAL_009,right,controlled
CAP000748,S021,leaning_forward,1,CAL_009,right,controlled
CAP000749,S021,leaning_forward,1,CAL_009,right,controlled
CAP000750,S021,leaning_forward,1,CAL_009,right,controlled
CAP000751,S021,leaning_forward,1,CAL_009,right,controlled
CAP000752,S021,leaning_backward,0,CAL_009,right,controlled
CAP000753,S021,leaning_backward,0,CAL_009,right,controlled
CAP000754,S021,leaning_backward,0,CAL_009,right,controlled
CAP000755,S021,leaning_backward,0,CAL_009,right,controlled
CAP000756,S021,leaning_backward,0,CAL_009,right,controlled
CAP000757,S021,leaning_left,2,CAL_009,right,controlled
CAP000758,S021,leaning_left,2,CAL_009,right,controlled
CAP000760,S021,leaning_left,2,CAL_009,right,controlled
CAP000761,S021,leaning_left,2,CAL_009,right,controlled
CAP000762,S021,leaning_right,3,CAL_009,right,controlled
CAP000763,S021,leaning_right,3,CAL_009,right,controlled
CAP000764,S021,leaning_right,3,CAL_009,right,controlled
CAP000765,S021,leaning_right,3,CAL_009,right,controlled
CAP000766,S021,leaning_right,3,CAL_009,right,controlled
CAP000767,S021,slouching,4,CAL_009,right,controlled
CAP000768,S021,slouching,4,CAL_009,right,controlled
CAP000769,S021,slouching,4,CAL_009,right,controlled
CAP000779,S022,upright,5,CAL_009,right,controlled
CAP000781,S022,upright,5,CAL_009,right,controlled
CAP000783,S022,upright,5,CAL_009,right,controlled
CAP000804,S022,slouching,4,CAL_009,right,controlled
CAP000805,S022,slouching,4,CAL_009,right,controlled
CAP000806,S022,slouching,4,CAL_009,right,controlled
CAP000807,S022,slouching,4,CAL_009,right,controlled
CAP000808,S022,slouching,4,CAL_009,right,controlled
CAP000852,S024,upright,5,CAL_011,right,controlled
CAP000853,S024,upright,5,CAL_011,right,controlled
CAP000854,S024,upright,5,CAL_011,right,controlled
CAP000855,S024,upright,5,CAL_011,right,controlled
CAP000856,S024,upright,5,CAL_011,right,controlled
CAP000857,S024,leaning_forward,1,CAL_011,right,controlled
CAP000858,S024,leaning_forward,1,CAL_011,right,controlled
CAP000859,S024,leaning_forward,1,CAL_011,right,controlled
CAP000860,S024,leaning_forward,1,CAL_011,right,controlled
CAP000861,S024,leaning_forward,1,CAL_011,right,controlled
CAP000862,S024,leaning_backward,0,CAL_011,right,controlled
CAP000863,S024,leaning_backward,0,CAL_011,right,controlled
CAP000864,S024,leaning_backward,0,CAL_011,right,controlled
CAP000865,S024,leaning_backward,0,CAL_011,right,controlled
CAP000867,S024,leaning_left,2,CAL_011,right,controlled
CAP000868,S024,leaning_left,2,CAL_011,right,controlled
CAP000869,S024,leaning_left,2,CAL_011,right,controlled
CAP000870,S024,leaning_right,3,CAL_011,right,controlled
CAP000871,S024,leaning_right,3,CAL_011,right,controlled
CAP000872,S024,leaning_right,3,CAL_011,right,controlled
CAP000873,S024,leaning_right,3,CAL_011,right,controlled
CAP000874,S024,leaning_right,3,CAL_011,right,controlled
CAP000875,S024,slouching,4,CAL_011,right,controlled
CAP000876,S024,slouching,4,CAL_011,right,controlled
CAP000877,S024,slouching,4,CAL_011,right,controlled
CAP000878,S024,slouching,4,CAL_011,right,controlled
CAP000879,S024,slouching,4,CAL_011,right,controlled
