hamming_distance,same_split,split_a,filename_a,path_a,split_b,filename_b,path_b
2,False,train,sipotion_1749658795005_good_posture_0_45_jpg.rf.754a0c9e4cb6913e56457ffbfdf289e3.jpg,train/sipotion_1749658795005_good_posture_0_45_jpg.rf.754a0c9e4cb6913e56457ffbfdf289e3.jpg,valid,sipotion_1749658792534_good_posture_0_72_jpg.rf.980442380fc848cd5a8a4c52127591de.jpg,valid/sipotion_1749658792534_good_posture_0_72_jpg.rf.980442380fc848cd5a8a4c52127591de.jpg
2,False,train,sipotion_1749660908457_leaning_forward_0_83_jpg.rf.23059baeaa1c8fb0704256e77e38083a.jpg,train/sipotion_1749660908457_leaning_forward_0_83_jpg.rf.23059baeaa1c8fb0704256e77e38083a.jpg,valid,sipotion_1749660905991_leaning_forward_0_88_jpg.rf.544e696145c41c1edf921fe5f8bf1973.jpg,valid/sipotion_1749660905991_leaning_forward_0_88_jpg.rf.544e696145c41c1edf921fe5f8bf1973.jpg
2,True,train,sipotion_1749649826277_leaning_backward_0_86_jpg.rf.4a94dbd3c99df31514dd3ea5367a08af.jpg,train/sipotion_1749649826277_leaning_backward_0_86_jpg.rf.4a94dbd3c99df31514dd3ea5367a08af.jpg,train,sipotion_1749649836581_leaning_backward_0_85_jpg.rf.84665b23d097d08cf4bc1522012a3994.jpg,train/sipotion_1749649836581_leaning_backward_0_85_jpg.rf.84665b23d097d08cf4bc1522012a3994.jpg
2,True,train,sipotion_1749660936500_leaning_forward_0_85_jpg.rf.3522e0fbbdc135f03a0acbab14f85120.jpg,train/sipotion_1749660936500_leaning_forward_0_85_jpg.rf.3522e0fbbdc135f03a0acbab14f85120.jpg,train,sipotion_1749660937848_leaning_forward_0_92_jpg.rf.350cb9fb06f142fecf400547869879f0.jpg,train/sipotion_1749660937848_leaning_forward_0_92_jpg.rf.350cb9fb06f142fecf400547869879f0.jpg
2,False,train,sipotion_1749649868548_slouch_0_86_jpg.rf.9eb0741bf441b370b5726c9d301c7017.jpg,train/sipotion_1749649868548_slouch_0_86_jpg.rf.9eb0741bf441b370b5726c9d301c7017.jpg,valid,sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg
2,False,train,sipotion_1749643409553_leaning_forward_0_53_jpg.rf.bad1b47de4a0ef545516855ef32811b4.jpg,train/sipotion_1749643409553_leaning_forward_0_53_jpg.rf.bad1b47de4a0ef545516855ef32811b4.jpg,valid,sipotion_1749643407582_leaning_forward_0_46_jpg.rf.1e9e36d323dd76bf5402f4ec107662d7.jpg,valid/sipotion_1749643407582_leaning_forward_0_46_jpg.rf.1e9e36d323dd76bf5402f4ec107662d7.jpg
3,False,test,sipotion_1749637002402_leaning_forward_0_55_jpg.rf.8748aa4f545120cb5507355719d80643.jpg,test/sipotion_1749637002402_leaning_forward_0_55_jpg.rf.8748aa4f545120cb5507355719d80643.jpg,train,sipotion_1749637004429_leaning_forward_0_73_jpg.rf.33ab2ee1b733a15ff7cea7d3fb584e9f.jpg,train/sipotion_1749637004429_leaning_forward_0_73_jpg.rf.33ab2ee1b733a15ff7cea7d3fb584e9f.jpg
3,False,test,sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,test/sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,valid,sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,valid/sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg
3,True,train,sipotion_1749636396471_good_posture_0_81_jpg.rf.04aea4cf15e94704603a60797b8bfb22.jpg,train/sipotion_1749636396471_good_posture_0_81_jpg.rf.04aea4cf15e94704603a60797b8bfb22.jpg,train,sipotion_1749636392897_good_posture_0_88_jpg.rf.534d5657ee3d7e99e4778e567e50f86f.jpg,train/sipotion_1749636392897_good_posture_0_88_jpg.rf.534d5657ee3d7e99e4778e567e50f86f.jpg
3,True,train,sipotion_1749649859977_slouch_0_63_jpg.rf.0f65919b3a0b364aae7a341726de0f7c.jpg,train/sipotion_1749649859977_slouch_0_63_jpg.rf.0f65919b3a0b364aae7a341726de0f7c.jpg,train,sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg,train/sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg
4,False,test,sipotion_1749650397826_leaning_forward_0_85_jpg.rf.e024f6690122f97e3a50a6061403b7fa.jpg,test/sipotion_1749650397826_leaning_forward_0_85_jpg.rf.e024f6690122f97e3a50a6061403b7fa.jpg,train,sipotion_1749650401543_leaning_forward_0_58_jpg.rf.7725919671b206dd9e24898ab94209e1.jpg,train/sipotion_1749650401543_leaning_forward_0_58_jpg.rf.7725919671b206dd9e24898ab94209e1.jpg
4,False,test,sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,test/sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,train,sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg
4,True,train,sipotion_1749658448988_slouch_0_84_jpg.rf.e6660bf5603a631393da8704825aca30.jpg,train/sipotion_1749658448988_slouch_0_84_jpg.rf.e6660bf5603a631393da8704825aca30.jpg,train,sipotion_1749658446733_slouch_0_88_jpg.rf.fa7237aee7f3991d0c780b7c1769dc7f.jpg,train/sipotion_1749658446733_slouch_0_88_jpg.rf.fa7237aee7f3991d0c780b7c1769dc7f.jpg
4,False,train,sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,valid,sipotion_1749648202573_good_posture_0_87_jpg.rf.a8897cb1f8afafd69f7505d9b16d9434.jpg,valid/sipotion_1749648202573_good_posture_0_87_jpg.rf.a8897cb1f8afafd69f7505d9b16d9434.jpg
4,True,train,sipotion_1749660938394_leaning_forward_0_76_jpg.rf.4f1808559a77305552f4d196ef9a63f1.jpg,train/sipotion_1749660938394_leaning_forward_0_76_jpg.rf.4f1808559a77305552f4d196ef9a63f1.jpg,train,sipotion_1749660937848_leaning_forward_0_92_jpg.rf.350cb9fb06f142fecf400547869879f0.jpg,train/sipotion_1749660937848_leaning_forward_0_92_jpg.rf.350cb9fb06f142fecf400547869879f0.jpg
4,True,train,sipotion_1749643409553_leaning_forward_0_53_jpg.rf.bad1b47de4a0ef545516855ef32811b4.jpg,train/sipotion_1749643409553_leaning_forward_0_53_jpg.rf.bad1b47de4a0ef545516855ef32811b4.jpg,train,sipotion_1749643410796_leaning_forward_0_57_jpg.rf.a5715283dd691af42ae48716b0d540c3.jpg,train/sipotion_1749643410796_leaning_forward_0_57_jpg.rf.a5715283dd691af42ae48716b0d540c3.jpg
4,True,valid,posture-631-_jpg.rf.f23c585ad2f3ed7afff42339c37f47fb.jpg,valid/posture-631-_jpg.rf.f23c585ad2f3ed7afff42339c37f47fb.jpg,valid,0c60817f7c51abb568167d5c48eb8a47-Copy_jpg.rf.fb6a5f27c3e2ff278757d7f867c2fbf0.jpg,valid/0c60817f7c51abb568167d5c48eb8a47-Copy_jpg.rf.fb6a5f27c3e2ff278757d7f867c2fbf0.jpg
5,False,test,sipotion_1749636390966_good_posture_0_81_jpg.rf.5de3f5c1bf4c6af49cd20393d45dd6ea.jpg,test/sipotion_1749636390966_good_posture_0_81_jpg.rf.5de3f5c1bf4c6af49cd20393d45dd6ea.jpg,train,sipotion_1749636392897_good_posture_0_88_jpg.rf.534d5657ee3d7e99e4778e567e50f86f.jpg,train/sipotion_1749636392897_good_posture_0_88_jpg.rf.534d5657ee3d7e99e4778e567e50f86f.jpg
5,True,train,sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train/sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train,sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg,train/sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg
5,False,train,sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train/sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,valid,sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg
5,True,train,sipotion_1749658301936_slouch_0_79_jpg.rf.e7bd06bec199f15de2fa1e96742d9a0f.jpg,train/sipotion_1749658301936_slouch_0_79_jpg.rf.e7bd06bec199f15de2fa1e96742d9a0f.jpg,train,sipotion_1749658304298_leaning_backward_0_52_jpg.rf.084f3777200bf03fe8225235bfcee008.jpg,train/sipotion_1749658304298_leaning_backward_0_52_jpg.rf.084f3777200bf03fe8225235bfcee008.jpg
5,True,train,sipotion_1749649826277_leaning_backward_0_86_jpg.rf.4a94dbd3c99df31514dd3ea5367a08af.jpg,train/sipotion_1749649826277_leaning_backward_0_86_jpg.rf.4a94dbd3c99df31514dd3ea5367a08af.jpg,train,sipotion_1749649829222_leaning_backward_0_85_jpg.rf.cd58771c8e0857e69e9ce39fbdab5729.jpg,train/sipotion_1749649829222_leaning_backward_0_85_jpg.rf.cd58771c8e0857e69e9ce39fbdab5729.jpg
5,True,train,sipotion_1749658592179_leaning_backward_0_57_jpg.rf.1b646c04b560cc80de3c69720e0dce9e.jpg,train/sipotion_1749658592179_leaning_backward_0_57_jpg.rf.1b646c04b560cc80de3c69720e0dce9e.jpg,train,sipotion_1749658594702_slouch_0_54_jpg.rf.6757b893848cd64a8014a28506a4fb36.jpg,train/sipotion_1749658594702_slouch_0_54_jpg.rf.6757b893848cd64a8014a28506a4fb36.jpg
5,True,train,sipotion_1749649829222_leaning_backward_0_85_jpg.rf.cd58771c8e0857e69e9ce39fbdab5729.jpg,train/sipotion_1749649829222_leaning_backward_0_85_jpg.rf.cd58771c8e0857e69e9ce39fbdab5729.jpg,train,sipotion_1749649839187_leaning_backward_0_87_jpg.rf.28070e7c36d426da233d3d90b942d15b.jpg,train/sipotion_1749649839187_leaning_backward_0_87_jpg.rf.28070e7c36d426da233d3d90b942d15b.jpg
5,True,train,sipotion_1749645589982_slouch_0_71_jpg.rf.80f5c486a73e4d22c75cdb855a5fcc51.jpg,train/sipotion_1749645589982_slouch_0_71_jpg.rf.80f5c486a73e4d22c75cdb855a5fcc51.jpg,train,sipotion_1749645592391_slouch_0_75_jpg.rf.47c8b0855c06191279205b95944322dc.jpg,train/sipotion_1749645592391_slouch_0_75_jpg.rf.47c8b0855c06191279205b95944322dc.jpg
5,True,train,sipotion_1749658420718_slouch_0_86_jpg.rf.0a487d7a73f184cecb1c439794562d54.jpg,train/sipotion_1749658420718_slouch_0_86_jpg.rf.0a487d7a73f184cecb1c439794562d54.jpg,train,sipotion_1749658425432_slouch_0_91_jpg.rf.94f2f2e1b3960d9b8e7a1cdc953334ca.jpg,train/sipotion_1749658425432_slouch_0_91_jpg.rf.94f2f2e1b3960d9b8e7a1cdc953334ca.jpg
5,True,train,sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,train/sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,train,sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg,train/sipotion_1749649863538_good_posture_0_52_jpg.rf.deed709c8c6b02b3d7621e4c99a502bd.jpg
5,False,train,sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,train/sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,valid,sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg
5,True,valid,sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,valid/sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,valid,sipotion_1749648202573_good_posture_0_87_jpg.rf.a8897cb1f8afafd69f7505d9b16d9434.jpg,valid/sipotion_1749648202573_good_posture_0_87_jpg.rf.a8897cb1f8afafd69f7505d9b16d9434.jpg
5,True,valid,posture-254-_jpg.rf.903ec44420bacd4623f79c0ba7397b21.jpg,valid/posture-254-_jpg.rf.903ec44420bacd4623f79c0ba7397b21.jpg,valid,posture-253-_jpg.rf.8d7b694bac7b5c2b461903d4b7b6e7e3.jpg,valid/posture-253-_jpg.rf.8d7b694bac7b5c2b461903d4b7b6e7e3.jpg
